Restaurant ID,City,Zone,Month,Sales
R-0013,Greensboro,5,2025-11,59892.28
R-0013,Greensboro,5,2025-12,73349.39
R-0014,Raleigh,2,2025-07,55245.89
R-0014,Raleigh,2,2025-08,65728.7
R-0014,Raleigh,2,2025-09,57943.04
R-0014,Raleigh,2,2025-10,52342.82
R-0014,Raleigh,2,2025-11,84436.58
R-0014,Raleigh,2,2025-12,59386.71
R-0015,Durham,1,2025-07,56467.37
R-0015,Durham,1,2025-08,76537.06
R-0015,Durham,1,2025-09,58152.54
R-0015,Durham,1,2025-10,54396.06
R-0015,Durham,1,2025-11,80098.37
R-0015,Durham,1,2025-12,70719.43
R-0016,Raleigh,5,2025-07,39357.55
R-0016,Raleigh,5,2025-08,47649.71
R-0016,Raleigh,5,2025-09,62066.48
R-0016,Raleigh,5,2025-10,57575.22
R-0016,Raleigh,5,2025-11,61143.12
R-0016,Raleigh,5,2025-12,63929.71
R-0017,Fayetteville,4,2025-07,59997.01
R-0017,Fayetteville,4,2025-08,60464.53
R-0017,Fayetteville,4,2025-09,63039.73
R-0017,Fayetteville,4,2025-10,62429.22
R-0017,Fayetteville,4,2025-11,61273.43
R-0017,Fayetteville,4,2025-12,57066.43
R-0018,Charlotte,2,2025-07,60513.2
R-0018,Charlotte,2,2025-08,76489.65
R-0018,Charlotte,2,2025-09,74690.94
R-0018,Charlotte,2,2025-10,88578.28
R-0018,Charlotte,2,2025-11,87783.88
R-0018,Charlotte,2,2025-12,61153.95
R-0019,Asheville,5,2025-07,45380.67
R-0019,Asheville,5,2025-08,36442.35
R-0019,Asheville,5,2025-09,54562.9
R-0019,Asheville,5,2025-10,52542.25
R-0019,Asheville,5,2025-11,55540.23
R-0019,Asheville,5,2025-12,54678.87
R-0020,Winston-Salem,3,2025-07,46644.61
R-0020,Winston-Salem,3,2025-08,41919.66
R-0020,Winston-Salem,3,2025-09,42761.77
R-0020,Winston-Salem,3,2025-10,37799.16
R-0020,Winston-Salem,3,2025-11,49076.61
R-0020,Winston-Salem,3,2025-12,51179.42
R-0021,Durham,3,2025-07,57566.21
R-0021,Durham,3,2025-08,44237.08
R-0021,Durham,3,2025-09,53932.46
R-0021,Durham,3,2025-10,40243.63
R-0021,Durham,3,2025-11,60408.74
R-0021,Durham,3,2025-12,52298.58
R-0022,Asheville,5,2025-07,66142.03
R-0022,Asheville,5,2025-08,69149.84
R-0022,Asheville,5,2025-09,72652.39
R-0022,Asheville,5,2025-10,66241.12
R-0022,Asheville,5,2025-11,71717.96
R-0022,Asheville,5,2025-12,60933.03
R-0023,Durham,3,2025-07,55447.26
R-0023,Durham,3,2025-08,53509.69
R-0023,Durham,3,2025-09,63918.69
R-0023,Durham,3,2025-10,57768.09
R-0023,Durham,3,2025-11,51012.82
R-0023,Durham,3,2025-12,62318.39
R-0024,Greensboro,2,2025-07,50976.7
R-0024,Greensboro,2,2025-08,56811.14
R-0024,Greensboro,2,2025-09,41255.74
R-0024,Greensboro,2,2025-10,45713.5
R-0024,Greensboro,2,2025-11,54893.34
R-0024,Greensboro,2,2025-12,64297.76
R-0025,Charlotte,5,2025-07,51294.75
R-0025,Charlotte,5,2025-08,43303.51
R-0025,Charlotte,5,2025-09,49057.11
R-0025,Charlotte,5,2025-10,71149.88
R-0025,Charlotte,5,2025-11,56982.48
R-0025,Charlotte,5,2025-12,76444.69
R-0026,Wilmington,4,2025-07,48610.31
R-0026,Wilmington,4,2025-08,47598.97
R-0026,Wilmington,4,2025-09,36076.94
R-0026,Wilmington,4,2025-10,43486.92
R-0026,Wilmington,4,2025-11,62199.91
R-0026,Wilmington,4,2025-12,54261.32
R-0027,Asheville,3,2025-07,31845.17
R-0027,Asheville,3,2025-08,46242.62
R-0027,Asheville,3,2025-09,40130.79
R-0027,Asheville,3,2025-10,44619.48
R-0027,Asheville,3,2025-11,38026.95
R-0027,Asheville,3,2025-12,47232.83
R-0028,Greenville,5,2025-07,72791.54
R-0028,Greenville,5,2025-08,65362.78
R-0028,Greenville,5,2025-09,63281.75
R-0028,Greenville,5,2025-10,72038.34
R-0028,Greenville,5,2025-11,61540.62
R-0028,Greenville,5,2025-12,79493.13
R-0029,Winston-Salem,3,2025-07,44135.25
R-0029,Winston-Salem,3,2025-08,47340.26
R-0029,Winston-Salem,3,2025-09,40648.5
R-0029,Winston-Salem,3,2025-10,53415.53
R-0029,Winston-Salem,3,2025-11,53244.69
R-0029,Winston-Salem,3,2025-12,61465.64
R-0030,Wilmington,4,2025-07,50547.79
R-0030,Wilmington,4,2025-08,40488.29
R-0030,Wilmington,4,2025-09,50540.96
R-0030,Wilmington,4,2025-10,45605.66
R-0030,Wilmington,4,2025-11,66260.87
R-0030,Wilmington,4,2025-12,54557.95
R-0031,Fayetteville,3,2025-07,40843.03
R-0031,Fayetteville,3,2025-08,44195.23
R-0031,Fayetteville,3,2025-09,62132.42
R-0031,Fayetteville,3,2025-10,58263.07
R-0031,Fayetteville,3,2025-11,44855.48
R-0031,Fayetteville,3,2025-12,66767.36
R-0032,Wilmington,2,2025-07,55458.95
R-0032,Wilmington,2,2025-08,75441.02
R-0032,Wilmington,2,2025-09,58247.17
R-0032,Wilmington,2,2025-10,60109.61
R-0032,Wilmington,2,2025-11,74829.43
R-0032,Wilmington,2,2025-12,82720.42
R-0033,Wilmington,3,2025-07,59484.49
R-0033,Wilmington,3,2025-08,53296.05
R-0033,Wilmington,3,2025-09,41340.29
R-0033,Wilmington,3,2025-10,57620.73
R-0033,Wilmington,3,2025-11,51686.39
R-0033,Wilmington,3,2025-12,57064.21
R-0034,Raleigh,1,2025-07,52205.48
R-0034,Raleigh,1,2025-08,62256.84
R-0034,Raleigh,1,2025-09,57334.09
R-0034,Raleigh,1,2025-10,67349.43
R-0034,Raleigh,1,2025-11,47620.73
R-0034,Raleigh,1,2025-12,64151.5
R-0035,Greenville,5,2025-07,48927.06
R-0035,Greenville,5,2025-08,52661.97
R-0035,Greenville,5,2025-09,68932.28
R-0035,Greenville,5,2025-10,71693.94
R-0035,Greenville,5,2025-11,68744.48
R-0035,Greenville,5,2025-12,60159.79
R-0036,Asheville,4,2025-07,64702.73
R-0036,Asheville,4,2025-08,56753.63
R-0036,Asheville,4,2025-09,52724.12
R-0036,Asheville,4,2025-10,52876.94
R-0036,Asheville,4,2025-11,66026.11
R-0036,Asheville,4,2025-12,64596.84
R-0037,Charlotte,1,2025-07,66353.84
R-0037,Charlotte,1,2025-08,58843.23
R-0037,Charlotte,1,2025-09,60845.6
R-0037,Charlotte,1,2025-10,79462.2
R-0037,Charlotte,1,2025-11,64365.29
R-0037,Charlotte,1,2025-12,93045.38
R-0038,Raleigh,4,2025-07,39545.3
R-0038,Raleigh,4,2025-08,43508.09
R-0038,Raleigh,4,2025-09,40701.28
R-0038,Raleigh,4,2025-10,46466.92
R-0038,Raleigh,4,2025-11,45191.37
R-0038,Raleigh,4,2025-12,47400.18
R-0039,Greenville,2,2025-07,72575.12
R-0039,Greenville,2,2025-08,66265.63
R-0039,Greenville,2,2025-09,53779.78
R-0039,Greenville,2,2025-10,71655.27
R-0039,Greenville,2,2025-11,76304.06
R-0039,Greenville,2,2025-12,60193.07
R-0040,Wilmington,4,2025-07,46577.99
R-0040,Wilmington,4,2025-08,77703.94
R-0040,Wilmington,4,2025-09,56849.7
R-0040,Wilmington,4,2025-10,80267.04
R-0040,Wilmington,4,2025-11,64913.13
R-0040,Wilmington,4,2025-12,81526.98
R-0041,Greenville,4,2025-07,47003.04
R-0041,Greenville,4,2025-08,54530.88
R-0041,Greenville,4,2025-09,51280.06
R-0041,Greenville,4,2025-10,63197.9
R-0041,Greenville,4,2025-11,61311.3
R-0041,Greenville,4,2025-12,70449.28
R-0042,Winston-Salem,4,2025-07,56738.37
R-0042,Winston-Salem,4,2025-08,79983.14
R-0042,Winston-Salem,4,2025-09,67658.39
R-0042,Winston-Salem,4,2025-10,67638.14
R-0042,Winston-Salem,4,2025-11,83846.91
R-0042,Winston-Salem,4,2025-12,96141.5
R-0043,Wilmington,4,2025-07,36644.8
R-0043,Wilmington,4,2025-08,43040.86
R-0043,Wilmington,4,2025-09,50457.95
R-0043,Wilmington,4,2025-10,54466.34
R-0043,Wilmington,4,2025-11,43426.85
R-0043,Wilmington,4,2025-12,53147.85
R-0044,Winston-Salem,3,2025-07,61835.23
R-0044,Winston-Salem,3,2025-08,56178.24
R-0044,Winston-Salem,3,2025-09,71420.67
R-0044,Winston-Salem,3,2025-10,58581.69
R-0044,Winston-Salem,3,2025-11,80753.19
R-0044,Winston-Salem,3,2025-12,91050.83
R-0045,Greenville,3,2025-07,59934.1
R-0045,Greenville,3,2025-08,51219.97
R-0045,Greenville,3,2025-09,60619.54
R-0045,Greenville,3,2025-10,77711.51
R-0045,Greenville,3,2025-11,62850.35
R-0045,Greenville,3,2025-12,73630.89
R-0046,Durham,4,2025-07,44560.63
R-0046,Durham,4,2025-08,49699.86
R-0046,Durham,4,2025-09,71460.29
R-0046,Durham,4,2025-10,52820.06
R-0046,Durham,4,2025-11,70261.06
R-0046,Durham,4,2025-12,59820.19
R-0047,Wilmington,2,2025-07,44776.35
R-0047,Wilmington,2,2025-08,43682.44
R-0047,Wilmington,2,2025-09,42067.54
R-0047,Wilmington,2,2025-10,41153.45
R-0047,Wilmington,2,2025-11,33905.11
R-0047,Wilmington,2,2025-12,37098.65
R-0048,Durham,3,2025-07,69950.85
R-0048,Durham,3,2025-08,67808.31
R-0048,Durham,3,2025-09,51649.04
R-0048,Durham,3,2025-10,73747.5
R-0048,Durham,3,2025-11,73292.5
R-0048,Durham,3,2025-12,73975.56
R-0049,Asheville,2,2025-07,30853.68
R-0049,Asheville,2,2025-08,27763.32
R-0049,Asheville,2,2025-09,40464.85
R-0049,Asheville,2,2025-10,32281.1
R-0049,Asheville,2,2025-11,47199.39
R-0049,Asheville,2,2025-12,34219.53
R-0050,Greenville,5,2025-07,45986.11
R-0050,Greenville,5,2025-08,71065.94
R-0050,Greenville,5,2025-09,56406.47
R-0050,Greenville,5,2025-10,66541.92
R-0050,Greenville,5,2025-11,50391.85
R-0050,Greenville,5,2025-12,53218.31
R-0051,Winston-Salem,3,2025-07,69971.98
R-0051,Winston-Salem,3,2025-08,70295.24
R-0051,Winston-Salem,3,2025-09,51759.06
R-0051,Winston-Salem,3,2025-10,84288.23
R-0051,Winston-Salem,3,2025-11,88229.06
R-0051,Winston-Salem,3,2025-12,90303.92
R-0052,Durham,3,2025-07,61482.75
R-0052,Durham,3,2025-08,61982.81
R-0052,Durham,3,2025-09,54866.9
R-0052,Durham,3,2025-10,67958.98
R-0052,Durham,3,2025-11,50953.75
R-0052,Durham,3,2025-12,64376.44
R-0053,Greenville,3,2025-07,79058.7
R-0053,Greenville,3,2025-08,80784.04
R-0053,Greenville,3,2025-09,74352.11
R-0053,Greenville,3,2025-10,105987.05
R-0053,Greenville,3,2025-11,110705.54
R-0053,Greenville,3,2025-12,95697.48
R-0054,Raleigh,4,2025-07,51313.35
R-0054,Raleigh,4,2025-08,42468.52
R-0054,Raleigh,4,2025-09,57768.5
R-0054,Raleigh,4,2025-10,55515.61
R-0054,Raleigh,4,2025-11,70915.09
R-0054,Raleigh,4,2025-12,68975.85
R-0055,Raleigh,3,2025-07,56377.07
R-0055,Raleigh,3,2025-08,66198.79
R-0055,Raleigh,3,2025-09,66746.11
R-0055,Raleigh,3,2025-10,56657.47
R-0055,Raleigh,3,2025-11,67879.9
R-0055,Raleigh,3,2025-12,65913.79
R-0056,Durham,1,2025-07,34133.34
R-0056,Durham,1,2025-08,40538.03
R-0056,Durham,1,2025-09,56353.88
R-0056,Durham,1,2025-10,56816.39
R-0056,Durham,1,2025-11,46050.64
R-0056,Durham,1,2025-12,55858.33
R-0057,Winston-Salem,5,2025-07,30852.91
R-0057,Winston-Salem,5,2025-08,33788.27
R-0057,Winston-Salem,5,2025-09,37724.41
R-0057,Winston-Salem,5,2025-10,32595.38
R-0057,Winston-Salem,5,2025-11,40182.45
R-0057,Winston-Salem,5,2025-12,33151.49
R-0058,Raleigh,4,2025-07,31338.89
R-0058,Raleigh,4,2025-08,29407.74
R-0058,Raleigh,4,2025-09,27299.92
R-0058,Raleigh,4,2025-10,33504.35
R-0058,Raleigh,4,2025-11,34519.75
R-0058,Raleigh,4,2025-12,32131.36
R-0059,Asheville,5,2025-07,41556.91
R-0059,Asheville,5,2025-08,56060.75
R-0059,Asheville,5,2025-09,42280.84
R-0059,Asheville,5,2025-10,45737.39
R-0059,Asheville,5,2025-11,53674.8
R-0059,Asheville,5,2025-12,74774.64
R-0060,Charlotte,5,2025-07,48368.61
R-0060,Charlotte,5,2025-08,53600.37
R-0060,Charlotte,5,2025-09,48351.14
R-0060,Charlotte,5,2025-10,52823.05
R-0060,Charlotte,5,2025-11,47093.8
R-0060,Charlotte,5,2025-12,47639.63
R-0061,Raleigh,2,2025-07,34102.01
R-0061,Raleigh,2,2025-08,40262.58
R-0061,Raleigh,2,2025-09,35054.02
R-0061,Raleigh,2,2025-10,44354.88
R-0061,Raleigh,2,2025-11,51448.88
R-0061,Raleigh,2,2025-12,37104.36
R-0062,Greensboro,5,2025-07,49628.76
R-0062,Greensboro,5,2025-08,56328.08
R-0062,Greensboro,5,2025-09,55397.12
R-0062,Greensboro,5,2025-10,63856.71
R-0062,Greensboro,5,2025-11,62479.48
R-0062,Greensboro,5,2025-12,66759.85
R-0063,Greenville,2,2025-07,51925.81
R-0063,Greenville,2,2025-08,41585.01
R-0063,Greenville,2,2025-09,53013.05
R-0063,Greenville,2,2025-10,49202.77
R-0063,Greenville,2,2025-11,66351.04
R-0063,Greenville,2,2025-12,59573.29
R-0064,Wilmington,2,2025-07,50064.41
R-0064,Wilmington,2,2025-08,47583.48
R-0064,Wilmington,2,2025-09,48778.59
R-0064,Wilmington,2,2025-10,51805.01
R-0064,Wilmington,2,2025-11,39562.56
R-0064,Wilmington,2,2025-12,39390.49
R-0065,Greensboro,2,2025-07,24857.81
R-0065,Greensboro,2,2025-08,25214.14
R-0065,Greensboro,2,2025-09,28585.43
R-0065,Greensboro,2,2025-10,24694.3
R-0065,Greensboro,2,2025-11,21066.79
R-0065,Greensboro,2,2025-12,21615.91
R-0066,Greenville,5,2025-07,60949.07
R-0066,Greenville,5,2025-08,67890.66
R-0066,Greenville,5,2025-09,61117.72
R-0066,Greenville,5,2025-10,70201.93
R-0066,Greenville,5,2025-11,47543.36
R-0066,Greenville,5,2025-12,76866.72
R-0067,Asheville,3,2025-07,46130.89
R-0067,Asheville,3,2025-08,41555.23
R-0067,Asheville,3,2025-09,59249.03
R-0067,Asheville,3,2025-10,46799.84
R-0067,Asheville,3,2025-11,48449.86
R-0067,Asheville,3,2025-12,57355.49
R-0068,Raleigh,2,2025-07,31068.31
R-0068,Raleigh,2,2025-08,36033.07
R-0068,Raleigh,2,2025-09,50616.11
R-0068,Raleigh,2,2025-10,40026.85
R-0068,Raleigh,2,2025-11,45622.37
R-0068,Raleigh,2,2025-12,51141.45
R-0069,Raleigh,5,2025-07,41643.69
R-0069,Raleigh,5,2025-08,54155.61
R-0069,Raleigh,5,2025-09,47206.08
R-0069,Raleigh,5,2025-10,36760.97
R-0069,Raleigh,5,2025-11,55170.34
R-0069,Raleigh,5,2025-12,51918.98
R-0070,Asheville,1,2025-07,44663.71
R-0070,Asheville,1,2025-08,55042.17
R-0070,Asheville,1,2025-09,67693.61
R-0070,Asheville,1,2025-10,68589.56
R-0070,Asheville,1,2025-11,47427.11
R-0070,Asheville,1,2025-12,67524.02
R-0071,Wilmington,5,2025-07,91352.67
R-0071,Wilmington,5,2025-08,80725.07
R-0071,Wilmington,5,2025-09,96598.35
R-0071,Wilmington,5,2025-10,66585.82
R-0071,Wilmington,5,2025-11,78695.89
R-0071,Wilmington,5,2025-12,76310.42
R-0072,Charlotte,4,2025-07,26838.25
R-0072,Charlotte,4,2025-08,27949.64
R-0072,Charlotte,4,2025-09,30557.99
R-0072,Charlotte,4,2025-10,25658.35
R-0072,Charlotte,4,2025-11,36306.77
R-0072,Charlotte,4,2025-12,35651.5
R-0073,Fayetteville,1,2025-07,72053.58
R-0073,Fayetteville,1,2025-08,68854.55
R-0073,Fayetteville,1,2025-09,50712.31
R-0073,Fayetteville,1,2025-10,60646.29
R-0073,Fayetteville,1,2025-11,57968.26
R-0073,Fayetteville,1,2025-12,78241.95
R-0074,Greensboro,4,2025-07,80840.34
R-0074,Greensboro,4,2025-08,74895.21
R-0074,Greensboro,4,2025-09,54332.51
R-0074,Greensboro,4,2025-10,66284.84
R-0074,Greensboro,4,2025-11,72083.35
R-0074,Greensboro,4,2025-12,71375.42
R-0075,Wilmington,5,2025-07,19978.36
R-0075,Wilmington,5,2025-08,20933.4
R-0075,Wilmington,5,2025-09,27224.7
R-0075,Wilmington,5,2025-10,32498.57
R-0075,Wilmington,5,2025-11,31846.1
R-0075,Wilmington,5,2025-12,34679.19
R-0076,Raleigh,4,2025-07,36776.1
R-0076,Raleigh,4,2025-08,48790.95
R-0076,Raleigh,4,2025-09,54662.69
R-0076,Raleigh,4,2025-10,56415.62
R-0076,Raleigh,4,2025-11,39619.98
R-0076,Raleigh,4,2025-12,46040.72
R-0077,Raleigh,2,2025-07,36245.71
R-0077,Raleigh,2,2025-08,46908.98
R-0077,Raleigh,2,2025-09,56224.01
R-0077,Raleigh,2,2025-10,49261.86
R-0077,Raleigh,2,2025-11,53455.05
R-0077,Raleigh,2,2025-12,54838.04
R-0078,Asheville,3,2025-07,37550.45
R-0078,Asheville,3,2025-08,50237.52
R-0078,Asheville,3,2025-09,41250.88
R-0078,Asheville,3,2025-10,48442.43
R-0078,Asheville,3,2025-11,45952.75
R-0078,Asheville,3,2025-12,44390.3
R-0079,Asheville,1,2025-07,57739.61
R-0079,Asheville,1,2025-08,67420.59
R-0079,Asheville,1,2025-09,76965.91
R-0079,Asheville,1,2025-10,67325.67
R-0079,Asheville,1,2025-11,69500.88
R-0079,Asheville,1,2025-12,71824.04
R-0080,Raleigh,3,2025-07,51133.62
R-0080,Raleigh,3,2025-08,44778.14
R-0080,Raleigh,3,2025-09,39008.89
R-0080,Raleigh,3,2025-10,43212.56
R-0080,Raleigh,3,2025-11,43655.27
R-0080,Raleigh,3,2025-12,38149.8
R-0081,Wilmington,3,2025-07,52843.82
R-0081,Wilmington,3,2025-08,55588.18
R-0081,Wilmington,3,2025-09,60942.47
R-0081,Wilmington,3,2025-10,52640.79
R-0081,Wilmington,3,2025-11,64372.1
R-0081,Wilmington,3,2025-12,80918.2
R-0082,Charlotte,3,2025-07,55745.5
R-0082,Charlotte,3,2025-08,44903.61
R-0082,Charlotte,3,2025-09,60681.17
R-0082,Charlotte,3,2025-10,64225.9
R-0082,Charlotte,3,2025-11,47758.56
R-0082,Charlotte,3,2025-12,55294.5
R-0083,Charlotte,3,2025-07,45220.33
R-0083,Charlotte,3,2025-08,44990.44
R-0083,Charlotte,3,2025-09,33936.62
R-0083,Charlotte,3,2025-10,35379.75
R-0083,Charlotte,3,2025-11,53030.03
R-0083,Charlotte,3,2025-12,42266.01
R-0084,Fayetteville,4,2025-07,62498.63
R-0084,Fayetteville,4,2025-08,52282.46
R-0084,Fayetteville,4,2025-09,50944.7
R-0084,Fayetteville,4,2025-10,62905.79
R-0084,Fayetteville,4,2025-11,70866.59
R-0084,Fayetteville,4,2025-12,72017.77
R-0085,Charlotte,3,2025-07,49917.99
R-0085,Charlotte,3,2025-08,46366.1
R-0085,Charlotte,3,2025-09,42672.6
R-0085,Charlotte,3,2025-10,46360.76
R-0085,Charlotte,3,2025-11,54855.72
R-0085,Charlotte,3,2025-12,51494.98
R-0086,Fayetteville,4,2025-07,46060.12
R-0086,Fayetteville,4,2025-08,33212.93
R-0086,Fayetteville,4,2025-09,46691.45
R-0086,Fayetteville,4,2025-10,47557.88
R-0086,Fayetteville,4,2025-11,46976.13
R-0086,Fayetteville,4,2025-12,50748.09
R-0087,Charlotte,1,2025-07,47955.67
R-0087,Charlotte,1,2025-08,48223.46
R-0087,Charlotte,1,2025-09,57950.28
R-0087,Charlotte,1,2025-10,45975.47
R-0087,Charlotte,1,2025-11,68511.84
R-0087,Charlotte,1,2025-12,67832.66
R-0088,Wilmington,2,2025-07,44670.91
R-0088,Wilmington,2,2025-08,46123.43
R-0088,Wilmington,2,2025-09,40224.81
R-0088,Wilmington,2,2025-10,51647.29
R-0088,Wilmington,2,2025-11,39450.56
R-0088,Wilmington,2,2025-12,47099.06
R-0089,Raleigh,1,2025-07,54687.68
R-0089,Raleigh,1,2025-08,84326.87
R-0089,Raleigh,1,2025-09,70078.23
R-0089,Raleigh,1,2025-10,65116.06
R-0089,Raleigh,1,2025-11,68418.41
R-0089,Raleigh,1,2025-12,62709.88
R-0090,Raleigh,5,2025-07,17279.14
R-0090,Raleigh,5,2025-08,20277.61
R-0090,Raleigh,5,2025-09,23757.88
R-0090,Raleigh,5,2025-10,20250.32
R-0090,Raleigh,5,2025-11,22777.21
R-0090,Raleigh,5,2025-12,25252.51
R-0091,Wilmington,5,2025-07,46739.14
R-0091,Wilmington,5,2025-08,41754.23
R-0091,Wilmington,5,2025-09,46496.92
R-0091,Wilmington,5,2025-10,65955.51
R-0091,Wilmington,5,2025-11,54503.39
R-0091,Wilmington,5,2025-12,67913.94
R-0092,Charlotte,4,2025-07,59306.33
R-0092,Charlotte,4,2025-08,56414.95
R-0092,Charlotte,4,2025-09,69902.2
R-0092,Charlotte,4,2025-10,74859.33
R-0092,Charlotte,4,2025-11,61182.09
R-0092,Charlotte,4,2025-12,63086.04
R-0093,Greensboro,5,2025-07,48661.6
R-0093,Greensboro,5,2025-08,34400.05
R-0093,Greensboro,5,2025-09,49910.35
R-0093,Greensboro,5,2025-10,44741.75
R-0093,Greensboro,5,2025-11,48731.42
R-0093,Greensboro,5,2025-12,51193.37
R-0094,Fayetteville,4,2025-07,45404.57
R-0094,Fayetteville,4,2025-08,57260.43
R-0094,Fayetteville,4,2025-09,41253.11
R-0094,Fayetteville,4,2025-10,62252.71
R-0094,Fayetteville,4,2025-11,54577.38
R-0094,Fayetteville,4,2025-12,60087.67
R-0095,Charlotte,1,2025-07,38872.26
R-0095,Charlotte,1,2025-08,38256.02
R-0095,Charlotte,1,2025-09,35432.8
R-0095,Charlotte,1,2025-10,34768.92
R-0095,Charlotte,1,2025-11,36458.94
R-0095,Charlotte,1,2025-12,44510.31
R-0096,Wilmington,3,2025-07,50152.17
R-0096,Wilmington,3,2025-08,67639.56
R-0096,Wilmington,3,2025-09,49023.35
R-0096,Wilmington,3,2025-10,56424.04
R-0096,Wilmington,3,2025-11,50749.57
R-0096,Wilmington,3,2025-12,65456.32
R-0097,Wilmington,5,2025-07,55915.59
R-0097,Wilmington,5,2025-08,59580.85
R-0097,Wilmington,5,2025-09,53194.86
R-0097,Wilmington,5,2025-10,73760.43
R-0097,Wilmington,5,2025-11,61875.91
R-0097,Wilmington,5,2025-12,71374.62
R-0098,Durham,2,2025-07,39188.23
R-0098,Durham,2,2025-08,52255.55
R-0098,Durham,2,2025-09,48146.39
R-0098,Durham,2,2025-10,57894.47
R-0098,Durham,2,2025-11,58705.71
R-0098,Durham,2,2025-12,52182.47
R-0099,Asheville,3,2025-07,67233.88
R-0099,Asheville,3,2025-08,55917.34
R-0099,Asheville,3,2025-09,60740.0
R-0099,Asheville,3,2025-10,81047.12
R-0099,Asheville,3,2025-11,54992.67
R-0099,Asheville,3,2025-12,84729.59
R-0100,Raleigh,4,2025-07,62538.37
R-0100,Raleigh,4,2025-08,59019.23
R-0100,Raleigh,4,2025-09,71589.09
R-0100,Raleigh,4,2025-10,52328.19
R-0100,Raleigh,4,2025-11,69356.88
R-0100,Raleigh,4,2025-12,65596.92
R-0101,Fayetteville,5,2025-07,63492.22
R-0101,Fayetteville,5,2025-08,68038.09
R-0101,Fayetteville,5,2025-09,68671.71
R-0101,Fayetteville,5,2025-10,83646.05
R-0101,Fayetteville,5,2025-11,69194.5
R-0101,Fayetteville,5,2025-12,72979.1
R-0102,Charlotte,2,2025-07,49788.21
R-0102,Charlotte,2,2025-08,33432.3
R-0102,Charlotte,2,2025-09,52299.97
R-0102,Charlotte,2,2025-10,34143.08
R-0102,Charlotte,2,2025-11,46762.75
R-0102,Charlotte,2,2025-12,51160.9
R-0103,Greenville,4,2025-07,37672.5
