OrderDate,Year,YearMonth,Category,Seller,ProductID,Orders,Units Sold,GMV,Marketplace Revenue,Take Rate %,AOV
2025-10-07,2025,2025-10,Kitchen,Apex Essentials,Product-008,1,1,28.11,3.87,0.1378,28.11
2025-10-04,2025,2025-10,Fitness,Apex Value,Product-054,1,1,46.47,5.23,0.1126,46.47
2025-08-10,2025,2025-08,Beauty,Apex Value,Product-034,1,2,47.9,7.63,0.1593,47.9
2025-12-06,2025,2025-12,Beauty,Apex Prime,Product-020,1,1,17.07,1.95,0.1143,17.07
2025-08-22,2025,2025-08,Home,Apex Value,Product-011,1,1,25.8,4.42,0.1712,25.8
2025-12-25,2025,2025-12,Fitness,Apex Prime,Product-076,1,1,36.9,5.18,0.1405,36.9
2025-07-05,2025,2025-07,Home,Apex Outdoor,Product-025,1,2,101.48,11.84,0.1167,101.48
2025-11-17,2025,2025-11,Fitness,Apex Outdoor,Product-021,1,2,110.24,19.52,0.1771,110.24
2025-09-19,2025,2025-09,Beauty,Apex Outdoor,Product-010,1,1,36.83,3.88,0.1054,36.83
2025-07-20,2025,2025-07,Kids,Apex Value,Product-014,1,1,17.75,2.74,0.1541,17.75
2025-08-01,2025,2025-08,Kids,Apex Outdoor,Product-002,1,2,30.6,3.78,0.1235,30.6
2025-07-30,2025,2025-07,Fitness,Apex Prime,Product-027,1,2,67.94,7.62,0.1122,67.94
2025-12-08,2025,2025-12,Fitness,Apex Essentials,Product-044,1,1,40.99,4.72,0.1151,40.99
2025-10-05,2025,2025-10,Kids,Apex Prime,Product-043,1,1,16.54,2.02,0.1219,16.54
2025-10-29,2025,2025-10,Kids,Apex Essentials,Product-058,1,2,45.22,4.87,0.1076,45.22
2025-12-21,2025,2025-12,Kids,Apex Value,Product-024,1,1,21.02,2.16,0.1029,21.02
2025-10-27,2025,2025-10,Kitchen,Apex Prime,Product-013,1,1,30.84,4.09,0.1325,30.84
2025-07-19,2025,2025-07,Beauty,Apex Outdoor,Product-066,1,1,26.3,3.06,0.1164,26.3
2025-08-07,2025,2025-08,Kids,Apex Outdoor,Product-062,1,1,16.5,2.18,0.1321,16.5
2025-12-27,2025,2025-12,Beauty,Apex Value,Product-078,1,1,22.92,2.77,0.1209,22.92
2025-08-18,2025,2025-08,Beauty,Apex Essentials,Product-057,1,1,13.42,2.19,0.1631,13.42
2025-07-27,2025,2025-07,Kitchen,Apex Value,Product-033,1,1,36.3,6.25,0.1722,36.3
2025-11-18,2025,2025-11,Home,Apex Essentials,Product-079,1,1,44.94,8.04,0.1789,44.94
2025-11-10,2025,2025-11,Kids,Apex Value,Product-073,1,2,60.58,9.1,0.1502,60.58
2025-08-20,2025,2025-08,Electronics,Apex Value,Product-032,1,1,54.17,5.81,0.1073,54.17
2025-10-01,2025,2025-10,Beauty,Apex Outdoor,Product-016,1,1,26.46,4.19,0.1584,26.46
2025-08-31,2025,2025-08,Kitchen,Apex Prime,Product-072,1,2,72.21,12.41,0.1718,72.21
2025-09-24,2025,2025-09,Kitchen,Apex Value,Product-016,1,2,84.86,8.51,0.1003,84.86
2025-12-23,2025,2025-12,Beauty,Apex Value,Product-074,1,1,28.8,4.75,0.1649,28.8
2025-10-25,2025,2025-10,Electronics,Apex Outdoor,Product-024,1,1,73.65,12.84,0.1744,73.65
2025-12-16,2025,2025-12,Home,Apex Essentials,Product-049,1,1,24.21,2.73,0.1127,24.21
2025-10-14,2025,2025-10,Fitness,Apex Prime,Product-019,1,1,31.9,3.49,0.1095,31.9
2025-10-12,2025,2025-10,Home,Apex Essentials,Product-067,1,1,35.85,3.74,0.1043,35.85
2025-07-10,2025,2025-07,Kids,Apex Value,Product-052,1,2,82.31,12.18,0.148,82.31
2025-10-29,2025,2025-10,Beauty,Apex Outdoor,Product-080,1,2,25.23,3.09,0.1225,25.23
2025-10-27,2025,2025-10,Kids,Apex Outdoor,Product-056,1,1,13.95,1.52,0.1092,13.95
2025-11-12,2025,2025-11,Beauty,Apex Outdoor,Product-054,1,2,41.12,6.5,0.158,41.12
2025-10-19,2025,2025-10,Kids,Apex Outdoor,Product-077,1,1,21.03,3.43,0.1632,21.03
2025-11-29,2025,2025-11,Electronics,Apex Value,Product-016,1,2,125.95,22.39,0.1778,125.95
2025-10-30,2025,2025-10,Kids,Apex Prime,Product-068,1,2,76.59,11.0,0.1436,76.59
2025-12-16,2025,2025-12,Fitness,Apex Value,Product-009,1,3,127.69,16.54,0.1295,127.69
2025-11-17,2025,2025-11,Fitness,Apex Value,Product-029,1,1,24.89,3.33,0.1337,24.89
2025-08-01,2025,2025-08,Electronics,Apex Prime,Product-067,1,1,70.85,12.48,0.1761,70.85
2025-07-01,2025,2025-07,Beauty,Apex Value,Product-039,1,1,30.72,3.5,0.1138,30.72
2025-10-21,2025,2025-10,Fitness,Apex Outdoor,Product-019,1,1,42.37,4.34,0.1025,42.37
2025-09-19,2025,2025-09,Beauty,Apex Essentials,Product-064,1,1,20.43,3.31,0.1621,20.43
2025-10-29,2025,2025-10,Home,Apex Value,Product-038,1,2,67.54,8.46,0.1253,67.54
2025-09-29,2025,2025-09,Fitness,Apex Prime,Product-023,1,1,41.74,6.5,0.1558,41.74
2025-11-21,2025,2025-11,Home,Apex Value,Product-025,1,2,98.66,12.28,0.1245,98.66
2025-09-19,2025,2025-09,Beauty,Apex Outdoor,Product-018,1,1,19.85,3.51,0.1766,19.85
2025-10-22,2025,2025-10,Fitness,Apex Prime,Product-022,1,1,39.47,4.57,0.1157,39.47
2025-08-16,2025,2025-08,Kids,Apex Value,Product-065,1,1,32.74,5.34,0.1632,32.74
2025-10-04,2025,2025-10,Kids,Apex Prime,Product-076,1,1,39.03,4.47,0.1144,39.03
2025-08-27,2025,2025-08,Beauty,Apex Value,Product-012,1,1,18.96,2.01,0.1061,18.96
2025-11-13,2025,2025-11,Electronics,Apex Prime,Product-001,1,1,60.36,9.92,0.1643,60.36
2025-07-23,2025,2025-07,Home,Apex Essentials,Product-025,1,1,42.42,5.19,0.1223,42.42
2025-11-18,2025,2025-11,Electronics,Apex Value,Product-020,1,3,218.64,34.98,0.16,218.64
2025-10-07,2025,2025-10,Electronics,Apex Outdoor,Product-008,1,1,64.33,9.3,0.1445,64.33
2025-12-13,2025,2025-12,Beauty,Apex Essentials,Product-062,1,1,10.2,1.71,0.1676,10.2
2025-12-23,2025,2025-12,Kitchen,Apex Value,Product-077,1,1,26.75,3.03,0.1132,26.75
2025-12-03,2025,2025-12,Fitness,Apex Value,Product-057,1,1,44.39,7.0,0.1577,44.39
2025-09-05,2025,2025-09,Fitness,Apex Value,Product-075,1,1,60.86,7.36,0.1209,60.86
2025-08-21,2025,2025-08,Kitchen,Apex Prime,Product-074,1,1,34.49,5.13,0.1487,34.49
2025-12-03,2025,2025-12,Fitness,Apex Outdoor,Product-065,1,1,38.96,4.71,0.121,38.96
2025-07-08,2025,2025-07,Electronics,Apex Prime,Product-023,1,1,44.94,5.35,0.119,44.94
2025-08-07,2025,2025-08,Electronics,Apex Essentials,Product-055,1,1,57.25,7.16,0.1251,57.25
2025-12-07,2025,2025-12,Kids,Apex Essentials,Product-076,1,1,10.98,1.43,0.1303,10.98
2025-09-02,2025,2025-09,Home,Apex Outdoor,Product-077,1,1,25.33,2.66,0.1049,25.33
2025-10-14,2025,2025-10,Fitness,Apex Essentials,Product-028,1,1,50.05,8.03,0.1604,50.05
2025-12-01,2025,2025-12,Home,Apex Value,Product-059,1,1,33.61,6.01,0.1789,33.61
2025-07-01,2025,2025-07,Home,Apex Outdoor,Product-068,1,1,28.42,3.81,0.134,28.42
2025-07-20,2025,2025-07,Electronics,Apex Value,Product-038,1,1,67.24,9.7,0.1442,67.24
2025-08-31,2025,2025-08,Fitness,Apex Outdoor,Product-012,1,2,78.09,13.94,0.1785,78.09
2025-12-04,2025,2025-12,Home,Apex Prime,Product-021,1,1,41.84,6.36,0.152,41.84
2025-07-15,2025,2025-07,Kids,Apex Essentials,Product-073,1,1,26.8,4.58,0.1709,26.8
2025-10-27,2025,2025-10,Fitness,Apex Value,Product-049,1,1,34.94,3.63,0.1039,34.94
2025-10-16,2025,2025-10,Beauty,Apex Value,Product-024,1,1,25.82,3.41,0.132,25.82
2025-11-30,2025,2025-11,Fitness,Apex Essentials,Product-061,1,1,34.22,6.14,0.1795,34.22
2025-12-21,2025,2025-12,Home,Apex Outdoor,Product-027,1,1,32.28,3.94,0.1221,32.28
2025-09-09,2025,2025-09,Kitchen,Apex Prime,Product-067,1,1,29.51,3.57,0.121,29.51
2025-10-09,2025,2025-10,Kitchen,Apex Value,Product-035,1,1,43.11,6.99,0.1621,43.11
2025-08-05,2025,2025-08,Home,Apex Prime,Product-003,1,3,122.04,20.39,0.1671,122.04
2025-10-24,2025,2025-10,Electronics,Apex Outdoor,Product-042,1,1,72.76,9.04,0.1242,72.76
2025-12-03,2025,2025-12,Home,Apex Outdoor,Product-006,1,1,24.73,3.49,0.1411,24.73
2025-08-02,2025,2025-08,Electronics,Apex Value,Product-040,1,1,46.75,6.61,0.1414,46.75
2025-11-18,2025,2025-11,Beauty,Apex Essentials,Product-058,1,1,24.06,2.69,0.1118,24.06
2025-08-22,2025,2025-08,Beauty,Apex Outdoor,Product-052,1,1,12.68,1.37,0.1082,12.68
2025-10-03,2025,2025-10,Beauty,Apex Value,Product-018,1,1,21.01,2.14,0.102,21.01
2025-12-09,2025,2025-12,Fitness,Apex Prime,Product-039,1,1,62.88,9.09,0.1446,62.88
2025-09-29,2025,2025-09,Kids,Apex Prime,Product-048,1,1,25.99,3.91,0.1506,25.99
2025-07-24,2025,2025-07,Fitness,Apex Prime,Product-051,1,1,21.94,2.69,0.1228,21.94
2025-12-28,2025,2025-12,Beauty,Apex Value,Product-021,1,2,46.93,5.45,0.1162,46.93
2025-08-12,2025,2025-08,Beauty,Apex Value,Product-067,1,1,16.29,1.83,0.1121,16.29
2025-11-27,2025,2025-11,Beauty,Apex Essentials,Product-003,1,2,61.56,6.75,0.1096,61.56
2025-07-17,2025,2025-07,Fitness,Apex Essentials,Product-007,1,1,49.83,7.85,0.1575,49.83
2025-09-03,2025,2025-09,Electronics,Apex Prime,Product-005,1,1,55.07,9.43,0.1713,55.07
2025-11-22,2025,2025-11,Beauty,Apex Essentials,Product-024,1,1,15.17,2.61,0.1718,15.17
2025-07-08,2025,2025-07,Kitchen,Apex Value,Product-010,1,1,34.07,5.1,0.1497,34.07
2025-10-14,2025,2025-10,Kitchen,Apex Outdoor,Product-009,1,1,37.87,4.95,0.1306,37.87
2025-10-07,2025,2025-10,Electronics,Apex Value,Product-065,1,1,43.94,6.13,0.1396,43.94
2025-10-30,2025,2025-10,Electronics,Apex Value,Product-078,1,1,64.03,7.61,0.1188,64.03
2025-07-01,2025,2025-07,Kitchen,Apex Outdoor,Product-001,1,1,42.96,5.99,0.1395,42.96
2025-12-14,2025,2025-12,Kitchen,Apex Prime,Product-080,1,2,78.89,12.91,0.1637,78.89
2025-09-06,2025,2025-09,Beauty,Apex Prime,Product-003,1,1,11.8,1.86,0.1573,11.8
2025-12-26,2025,2025-12,Fitness,Apex Value,Product-025,1,2,105.02,14.63,0.1393,105.02
2025-11-22,2025,2025-11,Beauty,Apex Essentials,Product-054,1,1,33.75,5.4,0.1599,33.75
2025-11-14,2025,2025-11,Fitness,Apex Value,Product-032,1,1,38.93,6.19,0.159,38.93
2025-07-17,2025,2025-07,Electronics,Apex Prime,Product-040,1,1,40.51,5.51,0.1361,40.51
2025-12-21,2025,2025-12,Fitness,Apex Prime,Product-021,1,1,35.21,4.49,0.1276,35.21
2025-10-10,2025,2025-10,Kitchen,Apex Outdoor,Product-033,1,1,33.98,4.08,0.1201,33.98
2025-12-31,2025,2025-12,Kids,Apex Essentials,Product-024,1,1,19.12,3.18,0.1663,19.12
2025-11-23,2025,2025-11,Fitness,Apex Value,Product-080,1,1,25.8,3.13,0.1215,25.8
2025-08-11,2025,2025-08,Home,Apex Value,Product-049,1,1,31.21,5.55,0.1779,31.21
2025-10-29,2025,2025-10,Kitchen,Apex Value,Product-035,1,1,42.03,5.61,0.1335,42.03
2025-12-09,2025,2025-12,Kids,Apex Outdoor,Product-050,1,2,42.3,6.65,0.1571,42.3
2025-07-31,2025,2025-07,Electronics,Apex Value,Product-037,1,1,61.78,8.84,0.1431,61.78
2025-07-31,2025,2025-07,Fitness,Apex Essentials,Product-004,1,2,97.55,10.28,0.1054,97.55
2025-10-21,2025,2025-10,Kids,Apex Essentials,Product-029,1,1,13.17,1.97,0.1494,13.17
2025-08-06,2025,2025-08,Kitchen,Apex Outdoor,Product-028,1,1,29.75,3.39,0.114,29.75
2025-07-28,2025,2025-07,Kitchen,Apex Essentials,Product-063,1,1,22.64,2.54,0.1121,22.64
2025-07-05,2025,2025-07,Beauty,Apex Value,Product-036,1,1,20.92,2.9,0.1386,20.92
2025-10-02,2025,2025-10,Kitchen,Apex Essentials,Product-072,1,1,35.1,3.69,0.1052,35.1
2025-09-18,2025,2025-09,Kids,Apex Prime,Product-001,1,1,8.0,0.93,0.1162,8.0
2025-10-13,2025,2025-10,Fitness,Apex Prime,Product-054,1,1,48.56,7.03,0.1448,48.56
2025-11-20,2025,2025-11,Electronics,Apex Value,Product-071,1,1,65.55,7.54,0.1151,65.55
2025-09-13,2025,2025-09,Home,Apex Outdoor,Product-074,1,2,56.5,8.93,0.158,56.5
2025-08-15,2025,2025-08,Electronics,Apex Value,Product-069,1,1,70.41,11.29,0.1603,70.41
2025-09-18,2025,2025-09,Electronics,Apex Outdoor,Product-002,1,2,132.53,13.93,0.1051,132.53
2025-10-02,2025,2025-10,Electronics,Apex Essentials,Product-032,1,1,61.08,10.03,0.1642,61.08
2025-12-18,2025,2025-12,Electronics,Apex Outdoor,Product-052,1,2,103.89,13.79,0.1327,103.89
2025-12-07,2025,2025-12,Electronics,Apex Prime,Product-074,1,1,54.84,7.71,0.1405,54.84
2025-09-09,2025,2025-09,Beauty,Apex Outdoor,Product-046,1,1,36.37,3.83,0.1053,36.37
2025-12-15,2025,2025-12,Beauty,Apex Prime,Product-034,1,1,21.64,3.45,0.1595,21.64
2025-11-17,2025,2025-11,Beauty,Apex Value,Product-023,1,1,15.12,1.7,0.1124,15.12
2025-10-04,2025,2025-10,Beauty,Apex Value,Product-056,1,1,19.35,2.08,0.1076,19.35
2025-11-15,2025,2025-11,Home,Apex Prime,Product-023,1,1,36.93,5.92,0.1603,36.93
2025-07-28,2025,2025-07,Kitchen,Apex Essentials,Product-056,1,1,38.9,6.32,0.1624,38.9
2025-08-15,2025,2025-08,Beauty,Apex Prime,Product-050,1,2,35.16,4.42,0.1258,35.16
2025-08-16,2025,2025-08,Beauty,Apex Prime,Product-019,1,1,10.51,1.1,0.1044,10.51
2025-12-05,2025,2025-12,Kitchen,Apex Essentials,Product-057,1,2,18.49,2.78,0.1503,18.49
2025-11-07,2025,2025-11,Kitchen,Apex Prime,Product-016,1,2,47.89,7.34,0.1532,47.89
2025-10-16,2025,2025-10,Fitness,Apex Value,Product-049,1,1,34.79,5.07,0.1458,34.79
2025-11-09,2025,2025-11,Electronics,Apex Outdoor,Product-058,1,1,65.21,8.22,0.126,65.21
2025-11-15,2025,2025-11,Fitness,Apex Essentials,Product-033,1,1,45.96,5.75,0.125,45.96
2025-10-29,2025,2025-10,Kitchen,Apex Outdoor,Product-007,1,2,98.49,13.72,0.1393,98.49
2025-08-29,2025,2025-08,Home,Apex Value,Product-015,1,1,56.7,7.99,0.1409,56.7
2025-09-05,2025,2025-09,Electronics,Apex Value,Product-005,1,1,61.92,8.44,0.1363,61.92
2025-11-15,2025,2025-11,Electronics,Apex Outdoor,Product-026,1,1,80.14,14.18,0.1769,80.14
2025-08-31,2025,2025-08,Electronics,Apex Prime,Product-072,1,1,62.91,6.66,0.1058,62.91
2025-11-05,2025,2025-11,Electronics,Apex Prime,Product-020,1,2,83.11,9.5,0.1143,83.11
2025-09-24,2025,2025-09,Electronics,Apex Essentials,Product-029,1,2,133.37,17.48,0.1311,133.37
2025-12-22,2025,2025-12,Kitchen,Apex Outdoor,Product-063,1,1,32.26,5.77,0.179,32.26
2025-08-22,2025,2025-08,Kitchen,Apex Essentials,Product-026,1,1,37.74,6.24,0.1653,37.74
2025-12-27,2025,2025-12,Beauty,Apex Essentials,Product-078,1,1,21.66,2.53,0.1168,21.66
2025-08-02,2025,2025-08,Home,Apex Outdoor,Product-006,1,1,52.75,7.85,0.1488,52.75
2025-09-30,2025,2025-09,Beauty,Apex Value,Product-002,1,3,113.55,17.63,0.1553,113.55
2025-12-31,2025,2025-12,Beauty,Apex Essentials,Product-053,1,1,29.08,3.78,0.13,29.08
2025-12-04,2025,2025-12,Fitness,Apex Essentials,Product-059,1,1,48.41,5.32,0.1099,48.41
2025-07-25,2025,2025-07,Beauty,Apex Outdoor,Product-031,1,1,25.79,4.39,0.1701,25.79
2025-07-21,2025,2025-07,Kids,Apex Outdoor,Product-029,1,2,42.9,5.62,0.131,42.9
2025-10-14,2025,2025-10,Kitchen,Apex Value,Product-058,1,1,21.96,3.22,0.1467,21.96
2025-12-16,2025,2025-12,Beauty,Apex Essentials,Product-002,1,1,28.68,3.43,0.1196,28.68
2025-10-14,2025,2025-10,Beauty,Apex Value,Product-076,1,2,43.78,5.57,0.1273,43.78
2025-11-29,2025,2025-11,Electronics,Apex Prime,Product-059,1,2,144.9,15.52,0.1071,144.9
2025-10-02,2025,2025-10,Electronics,Apex Essentials,Product-004,1,1,57.54,9.89,0.1718,57.54
2025-07-06,2025,2025-07,Kids,Apex Value,Product-061,1,1,9.98,1.13,0.1136,9.98
2025-11-07,2025,2025-11,Beauty,Apex Outdoor,Product-078,1,1,22.36,3.65,0.1632,22.36
2025-10-19,2025,2025-10,Home,Apex Prime,Product-008,1,1,37.03,5.07,0.137,37.03
2025-10-11,2025,2025-10,Kids,Apex Value,Product-067,1,3,61.27,6.83,0.1114,61.27
2025-10-10,2025,2025-10,Electronics,Apex Prime,Product-001,1,1,71.3,10.83,0.1519,71.3
2025-12-07,2025,2025-12,Kids,Apex Essentials,Product-061,1,1,26.21,2.66,0.1013,26.21
2025-10-02,2025,2025-10,Electronics,Apex Prime,Product-045,1,1,69.68,10.1,0.1449,69.68
2025-07-29,2025,2025-07,Electronics,Apex Essentials,Product-065,1,1,68.71,10.51,0.153,68.71
2025-11-08,2025,2025-11,Kitchen,Apex Essentials,Product-038,1,1,31.04,3.72,0.1197,31.04
2025-11-29,2025,2025-11,Fitness,Apex Outdoor,Product-007,1,3,119.46,12.95,0.1084,119.46
2025-08-05,2025,2025-08,Electronics,Apex Value,Product-019,1,3,176.29,25.03,0.142,176.29
2025-10-13,2025,2025-10,Kitchen,Apex Prime,Product-053,1,2,60.73,6.61,0.1088,60.73
2025-12-30,2025,2025-12,Fitness,Apex Value,Product-038,1,1,62.7,6.41,0.1023,62.7
2025-07-29,2025,2025-07,Fitness,Apex Essentials,Product-070,1,1,46.77,6.23,0.1333,46.77
2025-07-21,2025,2025-07,Home,Apex Essentials,Product-069,1,1,32.49,5.64,0.1735,32.49
2025-09-23,2025,2025-09,Fitness,Apex Value,Product-072,1,2,68.53,11.81,0.1723,68.53
2025-10-09,2025,2025-10,Kids,Apex Essentials,Product-035,1,1,13.12,1.58,0.1207,13.12
2025-10-03,2025,2025-10,Electronics,Apex Outdoor,Product-062,1,1,56.64,6.19,0.1093,56.64
2025-09-18,2025,2025-09,Kitchen,Apex Prime,Product-021,1,1,20.75,2.98,0.1438,20.75
2025-10-11,2025,2025-10,Home,Apex Prime,Product-048,1,1,19.39,2.75,0.1416,19.39
2025-11-12,2025,2025-11,Fitness,Apex Prime,Product-048,1,1,63.96,11.34,0.1773,63.96
2025-07-02,2025,2025-07,Kids,Apex Essentials,Product-032,1,1,10.17,1.26,0.1241,10.17
2025-12-03,2025,2025-12,Kitchen,Apex Prime,Product-041,1,1,22.46,2.46,0.1094,22.46
2025-09-27,2025,2025-09,Electronics,Apex Prime,Product-028,1,1,59.75,8.01,0.134,59.75
2025-10-04,2025,2025-10,Fitness,Apex Prime,Product-037,1,1,62.68,6.76,0.1078,62.68
2025-10-10,2025,2025-10,Home,Apex Essentials,Product-043,1,1,38.44,4.72,0.1228,38.44
2025-09-11,2025,2025-09,Electronics,Apex Outdoor,Product-007,1,1,66.7,7.12,0.1067,66.7
2025-08-05,2025,2025-08,Beauty,Apex Prime,Product-079,1,2,44.45,4.46,0.1004,44.45
2025-10-31,2025,2025-10,Fitness,Apex Essentials,Product-010,1,1,31.83,3.4,0.1067,31.83
2025-12-23,2025,2025-12,Home,Apex Outdoor,Product-058,1,1,38.43,6.6,0.1718,38.43
2025-07-19,2025,2025-07,Electronics,Apex Essentials,Product-071,1,1,51.7,8.08,0.1562,51.7
2025-10-10,2025,2025-10,Beauty,Apex Prime,Product-028,1,1,19.53,3.43,0.1758,19.53
2025-08-09,2025,2025-08,Beauty,Apex Outdoor,Product-053,1,1,26.91,3.62,0.1346,26.91
2025-10-05,2025,2025-10,Home,Apex Outdoor,Product-064,1,1,38.6,5.35,0.1385,38.6
2025-11-18,2025,2025-11,Kids,Apex Value,Product-075,1,1,8.0,0.81,0.1012,8.0
2025-08-11,2025,2025-08,Kids,Apex Essentials,Product-049,1,1,8.16,1.19,0.1459,8.16
2025-10-27,2025,2025-10,Beauty,Apex Value,Product-062,1,1,20.76,2.73,0.1317,20.76
2025-07-24,2025,2025-07,Kids,Apex Outdoor,Product-030,1,1,11.91,1.23,0.1036,11.91
2025-07-17,2025,2025-07,Beauty,Apex Outdoor,Product-032,1,1,30.29,4.08,0.1346,30.29
2025-12-06,2025,2025-12,Electronics,Apex Value,Product-053,1,2,101.78,12.06,0.1185,101.78
2025-12-06,2025,2025-12,Electronics,Apex Essentials,Product-065,1,2,130.34,13.4,0.1028,130.34
2025-12-26,2025,2025-12,Beauty,Apex Value,Product-071,1,1,11.14,1.98,0.1777,11.14
2025-09-30,2025,2025-09,Beauty,Apex Prime,Product-032,1,1,22.71,2.67,0.1175,22.71
2025-08-21,2025,2025-08,Kitchen,Apex Essentials,Product-016,1,1,30.23,5.43,0.1797,30.23
2025-10-03,2025,2025-10,Kids,Apex Essentials,Product-047,1,1,23.65,3.85,0.163,23.65
2025-09-13,2025,2025-09,Kitchen,Apex Essentials,Product-015,1,1,40.31,4.85,0.1203,40.31
2025-09-14,2025,2025-09,Beauty,Apex Essentials,Product-072,1,1,23.58,3.27,0.1388,23.58
2025-09-08,2025,2025-09,Electronics,Apex Essentials,Product-036,1,2,135.46,22.46,0.1658,135.46
2025-11-17,2025,2025-11,Home,Apex Prime,Product-070,1,2,86.24,9.75,0.113,86.24
2025-12-16,2025,2025-12,Kids,Apex Essentials,Product-040,1,1,26.75,4.36,0.163,26.75
2025-08-29,2025,2025-08,Fitness,Apex Outdoor,Product-048,1,1,41.32,4.85,0.1173,41.32
2025-12-11,2025,2025-12,Kitchen,Apex Essentials,Product-073,1,1,30.98,4.46,0.144,30.98
2025-11-25,2025,2025-11,Kids,Apex Prime,Product-039,1,2,30.78,3.33,0.1082,30.78
2025-11-22,2025,2025-11,Electronics,Apex Value,Product-048,1,1,64.47,9.88,0.1533,64.47
2025-07-18,2025,2025-07,Home,Apex Prime,Product-053,1,1,32.44,5.79,0.1786,32.44
2025-12-23,2025,2025-12,Kitchen,Apex Prime,Product-056,1,1,32.89,4.22,0.1283,32.89
2025-11-05,2025,2025-11,Home,Apex Prime,Product-054,1,1,46.21,5.33,0.1154,46.21
2025-12-25,2025,2025-12,Fitness,Apex Prime,Product-072,1,2,96.94,16.67,0.172,96.94
2025-09-04,2025,2025-09,Beauty,Apex Value,Product-035,1,2,38.86,6.92,0.1781,38.86
2025-08-09,2025,2025-08,Fitness,Apex Prime,Product-078,1,1,32.19,4.8,0.149,32.19
2025-12-04,2025,2025-12,Beauty,Apex Value,Product-012,1,1,13.8,1.55,0.1126,13.8
2025-07-09,2025,2025-07,Electronics,Apex Prime,Product-039,1,2,128.26,13.16,0.1026,128.26
2025-08-17,2025,2025-08,Kids,Apex Prime,Product-001,1,1,17.41,3.08,0.1767,17.41
2025-08-25,2025,2025-08,Fitness,Apex Value,Product-053,1,1,46.91,8.06,0.1719,46.91
2025-08-31,2025,2025-08,Beauty,Apex Prime,Product-075,1,1,31.79,5.02,0.1578,31.79
2025-11-11,2025,2025-11,Kids,Apex Essentials,Product-059,1,1,27.39,3.18,0.1161,27.39
2025-08-24,2025,2025-08,Beauty,Apex Outdoor,Product-062,1,1,17.66,3.06,0.1735,17.66
2025-08-17,2025,2025-08,Home,Apex Essentials,Product-077,1,1,34.37,3.95,0.1148,34.37
2025-08-29,2025,2025-08,Electronics,Apex Essentials,Product-066,1,1,82.46,13.04,0.1581,82.46
2025-12-20,2025,2025-12,Electronics,Apex Value,Product-070,1,1,57.28,7.75,0.1353,57.28
2025-07-12,2025,2025-07,Fitness,Apex Value,Product-048,1,1,34.15,3.61,0.1056,34.15
2025-07-19,2025,2025-07,Fitness,Apex Value,Product-054,1,1,46.83,7.64,0.1632,46.83
2025-10-06,2025,2025-10,Beauty,Apex Prime,Product-061,1,3,39.3,6.79,0.1729,39.3
2025-07-14,2025,2025-07,Fitness,Apex Prime,Product-049,1,2,79.54,8.38,0.1054,79.54
