YearMonth,device_type,acquisition_channel,country,category,product_id,Viewed Customers,Cart Customers,Checkout Customers,Purchased Customers,Total Revenue,Profit,Total Orders,Profit Margin,View → Cart %,Cart → Checkout %,Checkout → Purchase %,Drop-off (Views→Cart),Drop-off (Cart→Checkout),Drop-off (Checkout→Purchase),Funnel Metric,Stage,AOV
2025-09,desktop,email,CA,Shoes,P-0219,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,organic,AU,Accessories,P-0357,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,desktop,paid_search,AU,Tops,P-0450,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,AU,Outerwear,P-0409,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,desktop,organic,US,Accessories,P-0347,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,organic,AU,Tops,P-0250,1,1,1,1,60.49,11.46,1,0.1895,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,60.49
2025-11,mobile,paid_social,CA,Accessories,P-0300,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,desktop,organic,US,Accessories,P-0102,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,organic,US,Shoes,P-0068,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,email,UK,Shoes,P-0268,1,1,1,1,63.83,12.14,1,0.1902,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,63.83
2025-08,mobile,paid_search,CA,Outerwear,P-0452,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,desktop,organic,UK,Bottoms,P-0493,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,paid_social,UK,Bottoms,P-0499,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,organic,AU,Accessories,P-0112,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,desktop,paid_search,AU,Shoes,P-0419,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,desktop,organic,CA,Shoes,P-0433,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,paid_social,US,Accessories,P-0072,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,email,AU,Bottoms,P-0203,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_social,US,Accessories,P-0157,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_social,AU,Shoes,P-0209,1,1,1,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,US,Shoes,P-0226,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,paid_search,US,Shoes,P-0103,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,US,Tops,P-0036,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_search,UK,Accessories,P-0273,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,CA,Tops,P-0342,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,organic,US,Accessories,P-0228,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,desktop,organic,US,Tops,P-0095,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,tablet,referral,CA,Bottoms,P-0078,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,AU,Outerwear,P-0116,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,referral,US,Accessories,P-0071,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,tablet,organic,US,Tops,P-0098,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,US,Outerwear,P-0149,1,1,1,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,tablet,organic,AU,Bottoms,P-0285,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,paid_search,AU,Shoes,P-0033,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,desktop,email,AU,Bottoms,P-0169,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,desktop,organic,CA,Outerwear,P-0237,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,tablet,paid_social,US,Bottoms,P-0100,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_social,US,Shoes,P-0271,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,email,CA,Shoes,P-0040,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,UK,Accessories,P-0280,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,desktop,organic,AU,Accessories,P-0394,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,paid_social,UK,Accessories,P-0280,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,organic,UK,Outerwear,P-0159,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_search,AU,Outerwear,P-0209,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,CA,Tops,P-0306,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,US,Shoes,P-0339,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,email,US,Shoes,P-0412,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_search,AU,Shoes,P-0397,1,1,1,1,91.32,18.84,1,0.2063,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,91.32
2025-07,desktop,paid_social,UK,Tops,P-0191,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,desktop,organic,US,Tops,P-0302,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_social,US,Accessories,P-0061,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,CA,Shoes,P-0197,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,UK,Bottoms,P-0432,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_social,AU,Outerwear,P-0009,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,US,Accessories,P-0070,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_social,US,Outerwear,P-0378,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,email,US,Shoes,P-0102,1,1,1,1,79.41,21.01,1,0.2646,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,79.41
2025-07,mobile,paid_search,AU,Outerwear,P-0296,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,email,UK,Accessories,P-0094,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,email,US,Bottoms,P-0462,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,email,US,Tops,P-0202,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,organic,UK,Accessories,P-0391,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,desktop,paid_social,US,Accessories,P-0358,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,referral,US,Outerwear,P-0356,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,tablet,paid_search,US,Tops,P-0373,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,paid_social,US,Shoes,P-0271,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_social,CA,Shoes,P-0379,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_social,AU,Shoes,P-0468,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,organic,US,Tops,P-0450,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,UK,Bottoms,P-0368,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,UK,Outerwear,P-0238,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,organic,AU,Shoes,P-0256,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,email,AU,Outerwear,P-0209,1,1,1,1,71.82,20.88,1,0.2907,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,71.82
2025-07,mobile,paid_search,AU,Accessories,P-0118,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,organic,AU,Outerwear,P-0382,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,US,Shoes,P-0390,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,CA,Outerwear,P-0169,1,1,1,1,63.92,19.61,1,0.3068,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,63.92
2025-09,desktop,referral,US,Bottoms,P-0285,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,organic,AU,Tops,P-0019,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,desktop,paid_social,CA,Shoes,P-0247,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,desktop,email,CA,Tops,P-0500,1,1,1,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,paid_search,AU,Outerwear,P-0051,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,email,CA,Outerwear,P-0181,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,CA,Shoes,P-0353,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,organic,UK,Bottoms,P-0470,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,mobile,organic,US,Bottoms,P-0078,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,organic,AU,Shoes,P-0215,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,AU,Shoes,P-0043,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_search,UK,Shoes,P-0356,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_search,CA,Accessories,P-0380,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,paid_search,AU,Bottoms,P-0039,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,tablet,referral,CA,Accessories,P-0311,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,desktop,email,AU,Accessories,P-0159,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,US,Bottoms,P-0212,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,tablet,email,CA,Bottoms,P-0382,1,1,1,1,69.43,13.46,1,0.1939,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,69.43
2025-10,tablet,organic,US,Tops,P-0108,1,1,1,1,84.66,23.04,1,0.2721,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,84.66
2025-12,mobile,paid_search,CA,Tops,P-0178,1,1,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,organic,UK,Accessories,P-0151,1,1,1,1,87.88,27.05,1,0.3078,1.0,1.0,1.0,0.0,0.0,0.0,Purchase Conversion,Purchased,87.88
2025-07,mobile,paid_social,US,Bottoms,P-0295,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,UK,Shoes,P-0164,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_search,UK,Tops,P-0058,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,paid_social,CA,Outerwear,P-0187,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_social,UK,Bottoms,P-0196,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-08,mobile,email,AU,Accessories,P-0356,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_search,UK,Accessories,P-0131,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,organic,US,Outerwear,P-0139,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,desktop,organic,UK,Tops,P-0178,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,organic,UK,Bottoms,P-0215,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,mobile,email,AU,Tops,P-0039,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,AU,Bottoms,P-0058,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-11,mobile,paid_search,UK,Tops,P-0043,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-12,mobile,organic,AU,Tops,P-0254,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-09,mobile,paid_search,UK,Accessories,P-0247,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-10,desktop,organic,UK,Tops,P-0298,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
2025-07,desktop,paid_search,CA,Bottoms,P-0427,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Purchase Conversion,Purchased,0.0
