MonthYear,FiscalYear,Department,Region,Account,AccountCategory,Scenario,Amount
2025-08,2025,Sales,NA-West,Cloud Hosting,COGS,Budget,69786
2025-08,2025,Sales,NA-West,Support,COGS,Actual,64865
2025-08,2025,Sales,NA-West,Support,COGS,Budget,63912
2025-08,2025,Sales,NA-West,Salaries,OpEx,Actual,78496
2025-08,2025,Sales,NA-West,Salaries,OpEx,Budget,77998
2025-08,2025,Sales,NA-West,Software Tools,OpEx,Actual,91644
2025-08,2025,Sales,NA-West,Software Tools,OpEx,Budget,91791
2025-08,2025,Sales,NA-West,Facilities,OpEx,Actual,110439
2025-08,2025,Sales,NA-West,Facilities,OpEx,Budget,107138
2025-08,2025,Marketing,APAC,Subscription Revenue,Revenue,Actual,279910
2025-08,2025,Marketing,APAC,Subscription Revenue,Revenue,Budget,281829
2025-08,2025,Marketing,APAC,Professional Services,Revenue,Actual,284088
2025-08,2025,Marketing,APAC,Professional Services,Revenue,Budget,279042
2025-08,2025,Marketing,APAC,Cloud Hosting,COGS,Actual,53702
2025-08,2025,Marketing,APAC,Cloud Hosting,COGS,Budget,53527
2025-08,2025,Marketing,APAC,Support,COGS,Actual,53726
2025-08,2025,Marketing,APAC,Support,COGS,Budget,53303
2025-08,2025,Marketing,APAC,Salaries,OpEx,Actual,61577
2025-08,2025,Marketing,APAC,Salaries,OpEx,Budget,60897
2025-08,2025,Marketing,APAC,Software Tools,OpEx,Actual,107788
2025-08,2025,Marketing,APAC,Software Tools,OpEx,Budget,109141
2025-08,2025,Marketing,APAC,Facilities,OpEx,Actual,81444
2025-08,2025,Marketing,APAC,Facilities,OpEx,Budget,79100
2025-08,2025,Product,NA-East,Subscription Revenue,Revenue,Actual,224407
2025-08,2025,Product,NA-East,Subscription Revenue,Revenue,Budget,222487
2025-08,2025,Product,NA-East,Professional Services,Revenue,Actual,142960
2025-08,2025,Product,NA-East,Professional Services,Revenue,Budget,143803
2025-08,2025,Product,NA-East,Cloud Hosting,COGS,Actual,51727
2025-08,2025,Product,NA-East,Cloud Hosting,COGS,Budget,51140
2025-08,2025,Product,NA-East,Support,COGS,Actual,54836
2025-08,2025,Product,NA-East,Support,COGS,Budget,54681
2025-08,2025,Product,NA-East,Salaries,OpEx,Actual,48877
2025-08,2025,Product,NA-East,Salaries,OpEx,Budget,50582
2025-08,2025,Product,NA-East,Software Tools,OpEx,Actual,70181
2025-08,2025,Product,NA-East,Software Tools,OpEx,Budget,72782
2025-08,2025,Product,NA-East,Facilities,OpEx,Actual,48443
2025-08,2025,Product,NA-East,Facilities,OpEx,Budget,48339
2025-08,2025,Customer Success,NA-East,Subscription Revenue,Revenue,Actual,213824
2025-08,2025,Customer Success,NA-East,Subscription Revenue,Revenue,Budget,217551
2025-08,2025,Customer Success,NA-East,Professional Services,Revenue,Actual,239800
2025-08,2025,Customer Success,NA-East,Professional Services,Revenue,Budget,241597
2025-08,2025,Customer Success,NA-East,Cloud Hosting,COGS,Actual,83112
2025-08,2025,Customer Success,NA-East,Cloud Hosting,COGS,Budget,83654
2025-08,2025,Customer Success,NA-East,Support,COGS,Actual,66373
2025-08,2025,Customer Success,NA-East,Support,COGS,Budget,68337
2025-08,2025,Customer Success,NA-East,Salaries,OpEx,Actual,98291
2025-08,2025,Customer Success,NA-East,Salaries,OpEx,Budget,97413
2025-08,2025,Customer Success,NA-East,Software Tools,OpEx,Actual,84100
2025-08,2025,Customer Success,NA-East,Software Tools,OpEx,Budget,83699
2025-08,2025,Customer Success,NA-East,Facilities,OpEx,Actual,73961
2025-08,2025,Customer Success,NA-East,Facilities,OpEx,Budget,75441
2025-08,2025,G&A,NA-East,Subscription Revenue,Revenue,Actual,151639
2025-08,2025,G&A,NA-East,Subscription Revenue,Revenue,Budget,147292
2025-08,2025,G&A,NA-East,Professional Services,Revenue,Actual,163859
2025-08,2025,G&A,NA-East,Professional Services,Revenue,Budget,166611
2025-08,2025,G&A,NA-East,Cloud Hosting,COGS,Actual,96090
2025-08,2025,G&A,NA-East,Cloud Hosting,COGS,Budget,98375
2025-08,2025,G&A,NA-East,Support,COGS,Actual,68252
2025-08,2025,G&A,NA-East,Support,COGS,Budget,68709
2025-08,2025,G&A,NA-East,Salaries,OpEx,Actual,74952
2025-08,2025,G&A,NA-East,Salaries,OpEx,Budget,74007
2025-08,2025,G&A,NA-East,Software Tools,OpEx,Actual,93456
2025-08,2025,G&A,NA-East,Software Tools,OpEx,Budget,91523
2025-08,2025,G&A,NA-East,Facilities,OpEx,Actual,55567
2025-08,2025,G&A,NA-East,Facilities,OpEx,Budget,56163
2025-09,2025,Sales,NA-West,Subscription Revenue,Revenue,Actual,214927
2025-09,2025,Sales,NA-West,Subscription Revenue,Revenue,Budget,215998
2025-09,2025,Sales,NA-West,Professional Services,Revenue,Actual,164427
2025-09,2025,Sales,NA-West,Professional Services,Revenue,Budget,164392
2025-09,2025,Sales,NA-West,Cloud Hosting,COGS,Actual,125600
2025-09,2025,Sales,NA-West,Cloud Hosting,COGS,Budget,127191
2025-09,2025,Sales,NA-West,Support,COGS,Actual,106554
2025-09,2025,Sales,NA-West,Support,COGS,Budget,104438
2025-09,2025,Sales,NA-West,Salaries,OpEx,Actual,60521
2025-09,2025,Sales,NA-West,Salaries,OpEx,Budget,59136
2025-09,2025,Sales,NA-West,Software Tools,OpEx,Actual,66940
2025-09,2025,Sales,NA-West,Software Tools,OpEx,Budget,66907
2025-09,2025,Sales,NA-West,Facilities,OpEx,Actual,65118
2025-09,2025,Sales,NA-West,Facilities,OpEx,Budget,67629
2025-09,2025,Marketing,APAC,Subscription Revenue,Revenue,Actual,279155
2025-09,2025,Marketing,APAC,Subscription Revenue,Revenue,Budget,275438
2025-09,2025,Marketing,APAC,Professional Services,Revenue,Actual,260166
2025-09,2025,Marketing,APAC,Professional Services,Revenue,Budget,256748
2025-09,2025,Marketing,APAC,Cloud Hosting,COGS,Actual,86104
2025-09,2025,Marketing,APAC,Cloud Hosting,COGS,Budget,86434
2025-09,2025,Marketing,APAC,Support,COGS,Actual,94725
2025-09,2025,Marketing,APAC,Support,COGS,Budget,92962
2025-09,2025,Marketing,APAC,Salaries,OpEx,Actual,78584
2025-09,2025,Marketing,APAC,Salaries,OpEx,Budget,80339
2025-09,2025,Marketing,APAC,Software Tools,OpEx,Actual,104227
2025-09,2025,Marketing,APAC,Software Tools,OpEx,Budget,101019
2025-09,2025,Marketing,APAC,Facilities,OpEx,Actual,45270
2025-09,2025,Marketing,APAC,Facilities,OpEx,Budget,45776
2025-09,2025,Product,EMEA,Subscription Revenue,Revenue,Actual,268493
2025-09,2025,Product,EMEA,Subscription Revenue,Revenue,Budget,263649
2025-09,2025,Product,EMEA,Professional Services,Revenue,Actual,173673
2025-09,2025,Product,EMEA,Professional Services,Revenue,Budget,168575
2025-09,2025,Product,EMEA,Cloud Hosting,COGS,Actual,95899
2025-09,2025,Product,EMEA,Cloud Hosting,COGS,Budget,94052
2025-09,2025,Product,EMEA,Support,COGS,Actual,71630
2025-09,2025,Product,EMEA,Support,COGS,Budget,72478
2025-09,2025,Product,EMEA,Salaries,OpEx,Actual,73664
2025-09,2025,Product,EMEA,Salaries,OpEx,Budget,75173
2025-09,2025,Product,EMEA,Software Tools,OpEx,Actual,69552
2025-09,2025,Product,EMEA,Software Tools,OpEx,Budget,71812
2025-09,2025,Product,EMEA,Facilities,OpEx,Actual,50429
2025-09,2025,Product,EMEA,Facilities,OpEx,Budget,51326
2025-09,2025,Customer Success,NA-West,Subscription Revenue,Revenue,Actual,176374
2025-09,2025,Customer Success,NA-West,Subscription Revenue,Revenue,Budget,180472
2025-09,2025,Customer Success,NA-West,Professional Services,Revenue,Actual,227073
2025-09,2025,Customer Success,NA-West,Professional Services,Revenue,Budget,229153
2025-09,2025,Customer Success,NA-West,Cloud Hosting,COGS,Actual,101679
2025-09,2025,Customer Success,NA-West,Cloud Hosting,COGS,Budget,100721
2025-09,2025,Customer Success,NA-West,Support,COGS,Actual,94943
2025-09,2025,Customer Success,NA-West,Support,COGS,Budget,92658
2025-09,2025,Customer Success,NA-West,Salaries,OpEx,Actual,102864
2025-09,2025,Customer Success,NA-West,Salaries,OpEx,Budget,106355
2025-09,2025,Customer Success,NA-West,Software Tools,OpEx,Actual,41104
2025-09,2025,Customer Success,NA-West,Software Tools,OpEx,Budget,40743
2025-09,2025,Customer Success,NA-West,Facilities,OpEx,Actual,40195
2025-09,2025,Customer Success,NA-West,Facilities,OpEx,Budget,41728
2025-09,2025,G&A,EMEA,Subscription Revenue,Revenue,Actual,259627
2025-09,2025,G&A,EMEA,Subscription Revenue,Revenue,Budget,252081
2025-09,2025,G&A,EMEA,Professional Services,Revenue,Actual,150295
2025-09,2025,G&A,EMEA,Professional Services,Revenue,Budget,148870
2025-09,2025,G&A,EMEA,Cloud Hosting,COGS,Actual,77618
2025-09,2025,G&A,EMEA,Cloud Hosting,COGS,Budget,79572
2025-09,2025,G&A,EMEA,Support,COGS,Actual,83844
2025-09,2025,G&A,EMEA,Support,COGS,Budget,83486
2025-09,2025,G&A,EMEA,Salaries,OpEx,Actual,40516
2025-09,2025,G&A,EMEA,Salaries,OpEx,Budget,41120
2025-09,2025,G&A,EMEA,Software Tools,OpEx,Actual,94437
2025-09,2025,G&A,EMEA,Software Tools,OpEx,Budget,98213
2025-09,2025,G&A,EMEA,Facilities,OpEx,Actual,95191
2025-09,2025,G&A,EMEA,Facilities,OpEx,Budget,96545
2025-10,2025,Sales,APAC,Subscription Revenue,Revenue,Actual,241884
2025-10,2025,Sales,APAC,Subscription Revenue,Revenue,Budget,248402
2025-10,2025,Sales,APAC,Professional Services,Revenue,Actual,180452
2025-10,2025,Sales,APAC,Professional Services,Revenue,Budget,180740
2025-10,2025,Sales,APAC,Cloud Hosting,COGS,Actual,87030
2025-10,2025,Sales,APAC,Cloud Hosting,COGS,Budget,87755
2025-10,2025,Sales,APAC,Support,COGS,Actual,107043
2025-10,2025,Sales,APAC,Support,COGS,Budget,107428
2025-10,2025,Sales,APAC,Salaries,OpEx,Actual,56483
2025-10,2025,Sales,APAC,Salaries,OpEx,Budget,58043
2025-10,2025,Sales,APAC,Software Tools,OpEx,Actual,86546
2025-10,2025,Sales,APAC,Software Tools,OpEx,Budget,88974
2025-10,2025,Sales,APAC,Facilities,OpEx,Actual,102715
2025-10,2025,Sales,APAC,Facilities,OpEx,Budget,103314
2025-10,2025,Marketing,NA-West,Subscription Revenue,Revenue,Actual,166899
2025-10,2025,Marketing,NA-West,Subscription Revenue,Revenue,Budget,161941
2025-10,2025,Marketing,NA-West,Professional Services,Revenue,Actual,239095
2025-10,2025,Marketing,NA-West,Professional Services,Revenue,Budget,232552
2025-10,2025,Marketing,NA-West,Cloud Hosting,COGS,Actual,120577
2025-10,2025,Marketing,NA-West,Cloud Hosting,COGS,Budget,124117
2025-10,2025,Marketing,NA-West,Support,COGS,Actual,58053
2025-10,2025,Marketing,NA-West,Support,COGS,Budget,56892
2025-10,2025,Marketing,NA-West,Salaries,OpEx,Actual,97781
2025-10,2025,Marketing,NA-West,Salaries,OpEx,Budget,101072
2025-10,2025,Marketing,NA-West,Software Tools,OpEx,Actual,87553
2025-10,2025,Marketing,NA-West,Software Tools,OpEx,Budget,85775
2025-10,2025,Marketing,NA-West,Facilities,OpEx,Actual,66595
2025-10,2025,Marketing,NA-West,Facilities,OpEx,Budget,68730
2025-10,2025,Product,APAC,Subscription Revenue,Revenue,Actual,167448
2025-10,2025,Product,APAC,Subscription Revenue,Revenue,Budget,166639
2025-10,2025,Product,APAC,Professional Services,Revenue,Actual,186069
2025-10,2025,Product,APAC,Professional Services,Revenue,Budget,188325
2025-10,2025,Product,APAC,Cloud Hosting,COGS,Actual,99498
2025-10,2025,Product,APAC,Cloud Hosting,COGS,Budget,97441
2025-10,2025,Product,APAC,Support,COGS,Actual,57130
2025-10,2025,Product,APAC,Support,COGS,Budget,57896
2025-10,2025,Product,APAC,Salaries,OpEx,Actual,54772
2025-10,2025,Product,APAC,Salaries,OpEx,Budget,54770
2025-10,2025,Product,APAC,Software Tools,OpEx,Actual,87000
2025-10,2025,Product,APAC,Software Tools,OpEx,Budget,87859
2025-10,2025,Product,APAC,Facilities,OpEx,Actual,92064
2025-10,2025,Product,APAC,Facilities,OpEx,Budget,94853
2025-10,2025,Customer Success,NA-East,Subscription Revenue,Revenue,Actual,217669
2025-10,2025,Customer Success,NA-East,Subscription Revenue,Revenue,Budget,218052
2025-10,2025,Customer Success,NA-East,Professional Services,Revenue,Actual,178666
2025-10,2025,Customer Success,NA-East,Professional Services,Revenue,Budget,180073
2025-10,2025,Customer Success,NA-East,Cloud Hosting,COGS,Actual,102456
2025-10,2025,Customer Success,NA-East,Cloud Hosting,COGS,Budget,104615
2025-10,2025,Customer Success,NA-East,Support,COGS,Actual,113817
2025-10,2025,Customer Success,NA-East,Support,COGS,Budget,111991
2025-10,2025,Customer Success,NA-East,Salaries,OpEx,Actual,97294
2025-10,2025,Customer Success,NA-East,Salaries,OpEx,Budget,100428
2025-10,2025,Customer Success,NA-East,Software Tools,OpEx,Actual,55242
2025-10,2025,Customer Success,NA-East,Software Tools,OpEx,Budget,57110
2025-10,2025,Customer Success,NA-East,Facilities,OpEx,Actual,63168
2025-10,2025,Customer Success,NA-East,Facilities,OpEx,Budget,65126
2025-10,2025,G&A,NA-West,Subscription Revenue,Revenue,Actual,176584
2025-10,2025,G&A,NA-West,Subscription Revenue,Revenue,Budget,172220
2025-10,2025,G&A,NA-West,Professional Services,Revenue,Actual,221552
2025-10,2025,G&A,NA-West,Professional Services,Revenue,Budget,227416
2025-10,2025,G&A,NA-West,Cloud Hosting,COGS,Actual,103189
2025-10,2025,G&A,NA-West,Cloud Hosting,COGS,Budget,101335
2025-10,2025,G&A,NA-West,Support,COGS,Actual,112637
2025-10,2025,G&A,NA-West,Support,COGS,Budget,109907
2025-10,2025,G&A,NA-West,Salaries,OpEx,Actual,71796
2025-10,2025,G&A,NA-West,Salaries,OpEx,Budget,73639
2025-10,2025,G&A,NA-West,Software Tools,OpEx,Actual,67245
2025-10,2025,G&A,NA-West,Software Tools,OpEx,Budget,67969
2025-10,2025,G&A,NA-West,Facilities,OpEx,Actual,72852
2025-10,2025,G&A,NA-West,Facilities,OpEx,Budget,74792
2025-11,2025,Sales,NA-East,Subscription Revenue,Revenue,Actual,158221
2025-11,2025,Sales,NA-East,Subscription Revenue,Revenue,Budget,160708
2025-11,2025,Sales,NA-East,Professional Services,Revenue,Actual,319653
2025-11,2025,Sales,NA-East,Professional Services,Revenue,Budget,319293
2025-11,2025,Sales,NA-East,Cloud Hosting,COGS,Actual,64607
2025-11,2025,Sales,NA-East,Cloud Hosting,COGS,Budget,63337
2025-11,2025,Sales,NA-East,Support,COGS,Actual,67894
2025-11,2025,Sales,NA-East,Support,COGS,Budget,68598
2025-11,2025,Sales,NA-East,Salaries,OpEx,Actual,68453
2025-11,2025,Sales,NA-East,Salaries,OpEx,Budget,69444
2025-11,2025,Sales,NA-East,Software Tools,OpEx,Actual,38659
2025-11,2025,Sales,NA-East,Software Tools,OpEx,Budget,38321
2025-11,2025,Sales,NA-East,Facilities,OpEx,Actual,65359
2025-11,2025,Sales,NA-East,Facilities,OpEx,Budget,63843
2025-11,2025,Marketing,EMEA,Subscription Revenue,Revenue,Actual,269190
2025-11,2025,Marketing,EMEA,Subscription Revenue,Revenue,Budget,274750
2025-11,2025,Marketing,EMEA,Professional Services,Revenue,Actual,229672
2025-11,2025,Marketing,EMEA,Professional Services,Revenue,Budget,232970
2025-11,2025,Marketing,EMEA,Cloud Hosting,COGS,Actual,79218
2025-11,2025,Marketing,EMEA,Cloud Hosting,COGS,Budget,77626
2025-11,2025,Marketing,EMEA,Support,COGS,Actual,78283
2025-11,2025,Marketing,EMEA,Support,COGS,Budget,80129
2025-11,2025,Marketing,EMEA,Salaries,OpEx,Actual,101856
2025-11,2025,Marketing,EMEA,Salaries,OpEx,Budget,104795
2025-11,2025,Marketing,EMEA,Software Tools,OpEx,Actual,79858
2025-11,2025,Marketing,EMEA,Software Tools,OpEx,Budget,80494
2025-11,2025,Marketing,EMEA,Facilities,OpEx,Actual,88128
2025-11,2025,Marketing,EMEA,Facilities,OpEx,Budget,90277
2025-11,2025,Product,EMEA,Subscription Revenue,Revenue,Actual,171894
2025-11,2025,Product,EMEA,Subscription Revenue,Revenue,Budget,174399
2025-11,2025,Product,EMEA,Professional Services,Revenue,Actual,313183
2025-11,2025,Product,EMEA,Professional Services,Revenue,Budget,306290
2025-11,2025,Product,EMEA,Cloud Hosting,COGS,Actual,86707
2025-11,2025,Product,EMEA,Cloud Hosting,COGS,Budget,86029
2025-11,2025,Product,EMEA,Support,COGS,Actual,80203
2025-11,2025,Product,EMEA,Support,COGS,Budget,78792
2025-11,2025,Product,EMEA,Salaries,OpEx,Actual,58897
2025-11,2025,Product,EMEA,Salaries,OpEx,Budget,57962
2025-11,2025,Product,EMEA,Software Tools,OpEx,Actual,54229
2025-11,2025,Product,EMEA,Software Tools,OpEx,Budget,56357
2025-11,2025,Product,EMEA,Facilities,OpEx,Actual,83915
2025-11,2025,Product,EMEA,Facilities,OpEx,Budget,82390
2025-11,2025,Customer Success,EMEA,Subscription Revenue,Revenue,Actual,269140
2025-11,2025,Customer Success,EMEA,Subscription Revenue,Revenue,Budget,270263
2025-11,2025,Customer Success,EMEA,Professional Services,Revenue,Actual,224706
2025-11,2025,Customer Success,EMEA,Professional Services,Revenue,Budget,231445
2025-11,2025,Customer Success,EMEA,Cloud Hosting,COGS,Actual,113920
2025-11,2025,Customer Success,EMEA,Cloud Hosting,COGS,Budget,115709
2025-11,2025,Customer Success,EMEA,Support,COGS,Actual,102857
2025-11,2025,Customer Success,EMEA,Support,COGS,Budget,103569
2025-11,2025,Customer Success,EMEA,Salaries,OpEx,Actual,81881
2025-11,2025,Customer Success,EMEA,Salaries,OpEx,Budget,81236
2025-11,2025,Customer Success,EMEA,Software Tools,OpEx,Actual,38760
2025-11,2025,Customer Success,EMEA,Software Tools,OpEx,Budget,38374
2025-11,2025,Customer Success,EMEA,Facilities,OpEx,Actual,42614
2025-11,2025,Customer Success,EMEA,Facilities,OpEx,Budget,43996
2025-11,2025,G&A,APAC,Subscription Revenue,Revenue,Actual,265753
2025-11,2025,G&A,APAC,Subscription Revenue,Revenue,Budget,273647
2025-11,2025,G&A,APAC,Professional Services,Revenue,Actual,302908
2025-11,2025,G&A,APAC,Professional Services,Revenue,Budget,295205
2025-11,2025,G&A,APAC,Cloud Hosting,COGS,Actual,113197
2025-11,2025,G&A,APAC,Cloud Hosting,COGS,Budget,110107
2025-11,2025,G&A,APAC,Support,COGS,Actual,107059
2025-11,2025,G&A,APAC,Support,COGS,Budget,106877
2025-11,2025,G&A,APAC,Salaries,OpEx,Actual,51758
2025-11,2025,G&A,APAC,Salaries,OpEx,Budget,52218
2025-11,2025,G&A,APAC,Software Tools,OpEx,Actual,51922
2025-11,2025,G&A,APAC,Software Tools,OpEx,Budget,51592
2025-11,2025,G&A,APAC,Facilities,OpEx,Actual,78785
2025-11,2025,G&A,APAC,Facilities,OpEx,Budget,77937
2025-12,2025,Sales,EMEA,Subscription Revenue,Revenue,Actual,207971
2025-12,2025,Sales,EMEA,Subscription Revenue,Revenue,Budget,213330
2025-12,2025,Sales,EMEA,Professional Services,Revenue,Actual,300465
2025-12,2025,Sales,EMEA,Professional Services,Revenue,Budget,291935
2025-12,2025,Sales,EMEA,Cloud Hosting,COGS,Actual,120999
2025-12,2025,Sales,EMEA,Cloud Hosting,COGS,Budget,121964
2025-12,2025,Sales,EMEA,Support,COGS,Actual,99836
2025-12,2025,Sales,EMEA,Support,COGS,Budget,97157
2025-12,2025,Sales,EMEA,Salaries,OpEx,Actual,60949
2025-12,2025,Sales,EMEA,Salaries,OpEx,Budget,61347
2025-12,2025,Sales,EMEA,Software Tools,OpEx,Actual,85374
2025-12,2025,Sales,EMEA,Software Tools,OpEx,Budget,87406
2025-12,2025,Sales,EMEA,Facilities,OpEx,Actual,61847
2025-12,2025,Sales,EMEA,Facilities,OpEx,Budget,60614
2025-12,2025,Marketing,NA-West,Subscription Revenue,Revenue,Actual,170175
2025-12,2025,Marketing,NA-West,Subscription Revenue,Revenue,Budget,173341
2025-12,2025,Marketing,NA-West,Professional Services,Revenue,Actual,191141
2025-12,2025,Marketing,NA-West,Professional Services,Revenue,Budget,196415
2025-12,2025,Marketing,NA-West,Cloud Hosting,COGS,Actual,88967
2025-12,2025,Marketing,NA-West,Cloud Hosting,COGS,Budget,86567
2025-12,2025,Marketing,NA-West,Support,COGS,Actual,79239
2025-12,2025,Marketing,NA-West,Support,COGS,Budget,80955
2025-12,2025,Marketing,NA-West,Salaries,OpEx,Actual,57578
2025-12,2025,Marketing,NA-West,Salaries,OpEx,Budget,56948
2025-12,2025,Marketing,NA-West,Software Tools,OpEx,Actual,49645
2025-12,2025,Marketing,NA-West,Software Tools,OpEx,Budget,50046
2025-12,2025,Marketing,NA-West,Facilities,OpEx,Actual,91860
2025-12,2025,Marketing,NA-West,Facilities,OpEx,Budget,90860
2025-12,2025,Product,NA-West,Subscription Revenue,Revenue,Actual,304745
2025-12,2025,Product,NA-West,Subscription Revenue,Revenue,Budget,299961
2025-12,2025,Product,NA-West,Professional Services,Revenue,Actual,313381
2025-12,2025,Product,NA-West,Professional Services,Revenue,Budget,318726
2025-12,2025,Product,NA-West,Cloud Hosting,COGS,Actual,101207
2025-12,2025,Product,NA-West,Cloud Hosting,COGS,Budget,99819
2025-12,2025,Product,NA-West,Support,COGS,Actual,114099
2025-12,2025,Product,NA-West,Support,COGS,Budget,114726
2025-12,2025,Product,NA-West,Salaries,OpEx,Actual,93701
2025-12,2025,Product,NA-West,Salaries,OpEx,Budget,91375
2025-12,2025,Product,NA-West,Software Tools,OpEx,Actual,69584
2025-12,2025,Product,NA-West,Software Tools,OpEx,Budget,71898
2025-12,2025,Product,NA-West,Facilities,OpEx,Actual,84501
2025-12,2025,Product,NA-West,Facilities,OpEx,Budget,81531
2025-12,2025,Customer Success,EMEA,Subscription Revenue,Revenue,Actual,160228
2025-12,2025,Customer Success,EMEA,Subscription Revenue,Revenue,Budget,155786
2025-12,2025,Customer Success,EMEA,Professional Services,Revenue,Actual,205170
2025-12,2025,Customer Success,EMEA,Professional Services,Revenue,Budget,208318
2025-12,2025,Customer Success,EMEA,Cloud Hosting,COGS,Actual,109123
