Month,Ad Group,Device,Impressions,Clicks,CTR,CPC,Conv Rate,Conversions,Cost,Revenue,Sale Amount,P&L
2025-07,Non-Brand Search,Desktop,33791,340,0.0101,1.69,0.0187,6,574.6,406.55,70.48,-168.05
2025-07,Prospecting,Desktop,56342,1044,0.0185,1.91,0.0142,14,1994.04,940.24,65.37,-1053.8
2025-07,Retargeting,Desktop,19906,361,0.0181,1.1,0.0305,10,397.1,793.8,80.41,396.7
2025-07,Creator/UGC,Desktop,35609,696,0.0196,1.55,0.0236,16,1078.8,1691.29,100.27,612.49
2025-07,Affiliates,Desktop,42947,737,0.0172,0.42,0.0197,14,309.54,1135.28,72.86,825.74
2025-07,Brand Search,Mobile,31780,1184,0.0373,1.67,0.028,33,1977.28,2784.74,91.55,807.46
2025-07,Non-Brand Search,Mobile,27485,413,0.015,1.46,0.0217,8,602.98,686.08,91.2,83.1
2025-07,Prospecting,Desktop,50743,1762,0.0347,1.61,0.0271,47,2836.82,3252.74,69.6,415.92
2025-07,Retargeting,Desktop,26818,187,0.007,1.86,0.0219,4,347.82,330.34,87.05,-17.48
2025-07,Creator/UGC,Mobile,51864,1343,0.0259,1.58,0.0253,33,2121.94,2190.01,75.79,68.07
2025-07,Affiliates,Desktop,27266,682,0.025,1.08,0.0102,6,736.56,305.29,52.32,-431.27
2025-07,Brand Search,Mobile,27289,1258,0.0461,1.44,0.0296,37,1811.52,3018.22,82.67,1206.7
2025-07,Non-Brand Search,Desktop,32368,852,0.0263,1.11,0.025,21,945.72,1975.47,106.83,1029.75
2025-07,Prospecting,Mobile,63288,2367,0.0374,1.65,0.0127,30,3905.55,2299.82,80.92,-1605.73
2025-07,Retargeting,Mobile,29860,349,0.0117,1.55,0.0171,5,540.95,372.41,74.35,-168.54
2025-07,Creator/UGC,Mobile,61176,913,0.0149,1.33,0.0146,13,1214.29,1267.36,99.18,53.07
2025-07,Affiliates,Mobile,18577,397,0.0214,1.15,0.0173,6,456.55,496.64,90.23,40.09
2025-07,Brand Search,Mobile,43098,1825,0.0423,1.29,0.0275,50,2354.25,3039.75,69.15,685.5
2025-07,Non-Brand Search,Desktop,33637,962,0.0286,1.2,0.0141,13,1154.4,940.41,76.21,-213.99
2025-07,Prospecting,Desktop,69675,2297,0.033,1.5,0.017,38,3445.5,3289.94,86.35,-155.56
2025-07,Retargeting,Mobile,39577,678,0.0172,1.36,0.0282,19,922.08,1543.65,79.15,621.57
2025-07,Creator/UGC,Mobile,49591,1001,0.0202,1.15,0.0286,28,1151.15,2138.45,78.95,987.3
2025-07,Affiliates,Desktop,28870,532,0.0184,0.4,0.0111,5,212.8,218.81,44.52,6.01
2025-07,Brand Search,Desktop,28165,893,0.0317,0.85,0.0247,22,759.05,2314.14,102.53,1555.09
2025-07,Non-Brand Search,Mobile,36126,471,0.0131,1.51,0.019,8,711.21,610.48,76.47,-100.73
2025-07,Prospecting,Mobile,63712,1699,0.0267,0.99,0.0277,47,1682.01,3726.03,77.1,2044.02
2025-07,Retargeting,Mobile,36563,842,0.023,1.39,0.0259,21,1170.38,1996.76,95.73,826.38
2025-07,Creator/UGC,Desktop,47188,892,0.0189,1.26,0.0149,13,1123.92,1133.05,78.93,9.13
2025-07,Affiliates,Mobile,26820,695,0.0259,0.7,0.0234,16,486.5,1409.08,84.19,922.58
2025-07,Brand Search,Mobile,49783,2112,0.0424,1.45,0.0326,68,3062.4,5500.34,78.23,2437.94
2025-07,Non-Brand Search,Mobile,33086,858,0.0259,1.12,0.0103,8,960.96,768.27,89.51,-192.69
2025-07,Prospecting,Desktop,60212,1239,0.0206,1.72,0.0208,25,2131.08,2137.45,87.13,6.37
2025-07,Retargeting,Desktop,31430,646,0.0206,1.58,0.0336,21,1020.68,2528.05,112.32,1507.37
2025-07,Creator/UGC,Mobile,54537,740,0.0136,1.13,0.013,9,836.2,701.23,74.16,-134.97
2025-07,Affiliates,Mobile,22858,600,0.0263,0.48,0.0132,7,288.0,614.65,80.3,326.65
2025-07,Brand Search,Mobile,38638,1031,0.0267,1.11,0.0273,28,1144.41,2253.45,87.79,1109.04
2025-07,Non-Brand Search,Desktop,32447,867,0.0267,1.27,0.0202,17,1101.09,876.72,58.04,-224.37
2025-07,Prospecting,Desktop,49028,843,0.0172,1.48,0.0196,16,1247.64,1405.01,89.29,157.37
2025-07,Retargeting,Mobile,31833,459,0.0144,1.23,0.0211,9,564.57,603.52,73.01,38.95
2025-07,Creator/UGC,Desktop,56422,1337,0.0237,1.03,0.0226,30,1377.11,3010.06,94.63,1632.95
2025-07,Affiliates,Desktop,42421,403,0.0095,0.49,0.0181,7,197.47,396.28,64.75,198.81
2025-07,Brand Search,Mobile,29629,949,0.032,1.12,0.0209,19,1062.88,2074.78,98.88,1011.9
2025-07,Non-Brand Search,Mobile,20075,484,0.0241,1.36,0.0255,12,658.24,1159.33,86.74,501.09
2025-07,Prospecting,Desktop,46703,967,0.0207,1.6,0.0158,15,1547.2,1273.89,79.85,-273.31
2025-07,Retargeting,Desktop,26624,384,0.0144,1.24,0.0295,11,476.16,1041.25,89.87,565.09
2025-07,Creator/UGC,Desktop,61598,1180,0.0192,1.07,0.0184,21,1262.6,1629.6,82.37,367.0
2025-07,Affiliates,Mobile,20630,619,0.03,0.7,0.0239,14,433.3,777.6,63.61,344.3
2025-07,Brand Search,Desktop,31844,1390,0.0437,0.8,0.0226,31,1112.0,2305.26,77.56,1193.26
2025-07,Non-Brand Search,Mobile,31609,530,0.0168,1.91,0.0166,8,1012.3,631.65,74.05,-380.65
2025-07,Prospecting,Desktop,63174,1216,0.0193,1.34,0.0137,16,1629.44,1424.6,91.73,-204.84
2025-07,Retargeting,Mobile,41399,601,0.0145,1.45,0.0309,18,871.45,1440.11,84.35,568.66
2025-07,Creator/UGC,Mobile,65198,1403,0.0215,1.65,0.0199,27,2314.95,2101.81,79.92,-213.14
2025-07,Affiliates,Mobile,23528,337,0.0144,0.73,0.0213,7,246.01,544.5,87.4,298.49
2025-07,Brand Search,Mobile,24281,761,0.0313,1.52,0.0262,19,1156.72,1504.89,89.02,348.17
2025-07,Non-Brand Search,Mobile,27996,459,0.0164,1.36,0.0102,4,624.24,311.25,73.82,-312.99
2025-07,Prospecting,Mobile,43898,1197,0.0273,1.26,0.0195,23,1508.22,1873.44,79.87,365.22
2025-07,Retargeting,Mobile,37870,825,0.0218,1.74,0.0204,16,1435.5,891.23,60.04,-544.27
2025-07,Creator/UGC,Mobile,45152,882,0.0195,1.47,0.0173,15,1296.54,1174.18,86.96,-122.36
2025-07,Affiliates,Desktop,35695,833,0.0233,0.79,0.0229,19,658.07,1587.14,83.3,929.07
2025-07,Brand Search,Desktop,30810,1180,0.0383,1.31,0.0273,32,1545.8,2681.97,92.65,1136.17
2025-07,Non-Brand Search,Desktop,16980,495,0.0292,0.64,0.0164,8,316.8,812.59,97.41,495.79
2025-07,Prospecting,Mobile,59770,1109,0.0186,1.35,0.0082,9,1497.15,694.64,74.8,-802.51
2025-07,Retargeting,Mobile,35517,809,0.0228,1.58,0.0242,19,1278.22,1368.87,71.34,90.65
2025-07,Creator/UGC,Desktop,45635,1330,0.0292,1.37,0.0149,19,1822.1,1471.52,83.22,-350.58
2025-07,Affiliates,Mobile,30616,425,0.0139,0.6,0.0132,5,255.0,430.13,87.47,175.13
2025-07,Brand Search,Mobile,23749,1069,0.0451,1.2,0.0266,28,1282.8,2959.18,109.33,1676.38
2025-07,Non-Brand Search,Mobile,25423,346,0.0136,1.38,0.0089,3,477.48,145.0,45.92,-332.48
2025-07,Prospecting,Mobile,52732,1196,0.0227,1.13,0.0175,20,1351.48,1865.81,90.24,514.33
2025-07,Retargeting,Mobile,42204,1117,0.0265,1.22,0.0206,23,1362.74,1777.32,78.14,414.58
2025-07,Creator/UGC,Mobile,61919,323,0.0052,2.12,0.0246,7,684.76,785.43,102.27,100.67
2025-07,Affiliates,Mobile,23972,536,0.0224,0.65,0.0174,9,348.4,709.32,71.74,360.92
2025-07,Brand Search,Desktop,39971,1699,0.0425,1.29,0.0237,40,2191.71,2423.8,67.24,232.09
2025-07,Non-Brand Search,Desktop,36747,726,0.0198,1.08,0.0216,15,784.08,927.87,68.75,143.79
2025-07,Prospecting,Mobile,50682,241,0.0048,1.36,0.016,3,327.76,225.61,82.66,-102.15
2025-07,Retargeting,Desktop,43444,1398,0.0322,1.29,0.0283,39,1803.42,2201.85,64.46,398.43
2025-07,Creator/UGC,Mobile,55258,1659,0.03,1.0,0.0168,27,1659.0,1770.52,63.01,111.52
2025-07,Affiliates,Mobile,20647,468,0.0227,0.64,0.0215,10,299.52,701.32,69.9,401.8
2025-07,Brand Search,Mobile,32348,1282,0.0397,1.49,0.0216,27,1910.18,2814.44,105.68,904.26
2025-07,Non-Brand Search,Desktop,33058,448,0.0136,1.51,0.0228,10,676.48,678.88,71.44,2.4
2025-07,Prospecting,Mobile,52733,723,0.0137,1.48,0.0285,20,1070.04,1427.38,74.04,357.34
2025-07,Retargeting,Mobile,29857,710,0.0238,1.32,0.0242,17,937.2,1606.9,96.47,669.7
2025-07,Creator/UGC,Mobile,57253,2004,0.035,1.09,0.0258,51,2184.36,4635.12,95.75,2450.76
2025-07,Affiliates,Mobile,34262,782,0.0228,0.48,0.0185,14,375.36,817.48,67.12,442.12
2025-07,Brand Search,Desktop,21382,953,0.0446,1.21,0.0263,25,1153.13,2670.37,94.96,1517.24
2025-07,Non-Brand Search,Desktop,27145,453,0.0167,1.6,0.002,0,724.8,0.0,70.72,-724.8
2025-07,Prospecting,Mobile,55232,967,0.0175,1.17,0.0251,24,1131.39,1611.2,64.48,479.81
2025-07,Retargeting,Mobile,33906,426,0.0126,1.94,0.0217,9,826.44,617.64,68.93,-208.8
2025-07,Creator/UGC,Mobile,62754,1619,0.0258,1.2,0.0118,19,1942.8,1770.84,93.31,-171.96
2025-07,Affiliates,Desktop,47785,1438,0.0301,0.35,0.0108,15,503.3,1597.33,100.84,1094.03
2025-07,Brand Search,Desktop,20071,700,0.0349,1.55,0.023,16,1085.0,1487.72,86.94,402.72
2025-07,Non-Brand Search,Desktop,40540,990,0.0244,1.29,0.0128,12,1277.1,1414.42,109.7,137.32
2025-07,Prospecting,Mobile,49386,1219,0.0247,1.09,0.0145,17,1328.71,1121.14,76.43,-207.57
2025-07,Retargeting,Desktop,40601,1298,0.032,1.53,0.0222,28,1985.94,2343.07,82.37,357.13
2025-07,Creator/UGC,Mobile,46205,481,0.0104,1.77,0.0197,9,851.37,868.28,101.35,16.91
2025-07,Affiliates,Mobile,37869,984,0.026,0.88,0.0284,27,865.92,2376.71,82.81,1510.79
2025-07,Brand Search,Desktop,50626,1641,0.0324,1.21,0.016,26,1985.61,2251.01,82.79,265.4
2025-07,Non-Brand Search,Desktop,25641,1112,0.0434,1.38,0.0182,20,1534.56,1854.23,96.85,319.67
2025-07,Prospecting,Mobile,51893,1366,0.0263,1.28,0.014,19,1748.48,1333.8,67.09,-414.68
2025-07,Retargeting,Mobile,32343,268,0.0083,1.63,0.0199,5,436.84,458.62,101.23,21.78
2025-07,Creator/UGC,Mobile,50755,370,0.0073,1.46,0.0273,10,540.2,984.14,94.63,443.94
2025-07,Affiliates,Mobile,24895,491,0.0197,0.6,0.0151,7,294.6,327.86,46.12,33.26
2025-07,Brand Search,Mobile,28911,1440,0.0498,1.58,0.0229,32,2275.2,2527.9,78.03,252.7
2025-07,Non-Brand Search,Mobile,29987,895,0.0299,1.21,0.0187,16,1082.95,1619.88,105.42,536.93
2025-07,Prospecting,Mobile,56303,1150,0.0204,0.78,0.015,17,897.0,631.09,34.37,-265.91
2025-07,Retargeting,Mobile,43477,1078,0.0248,1.37,0.0263,28,1476.86,2660.34,91.87,1183.48
2025-07,Creator/UGC,Mobile,53223,1462,0.0275,0.85,0.0208,30,1242.7,2275.48,73.28,1032.78
2025-07,Affiliates,Desktop,36761,857,0.0233,0.92,0.0155,13,788.44,1066.4,77.71,277.96
2025-07,Brand Search,Mobile,22004,723,0.0329,1.68,0.0308,22,1214.64,2097.86,82.47,883.22
2025-07,Non-Brand Search,Mobile,19755,470,0.0238,1.19,0.017,8,559.3,707.17,99.58,147.87
2025-07,Prospecting,Mobile,53693,933,0.0174,1.51,0.0149,13,1408.83,1406.45,118.02,-2.38
2025-07,Retargeting,Desktop,42430,839,0.0198,1.3,0.0267,22,1090.7,1447.19,68.2,356.49
2025-07,Creator/UGC,Desktop,41951,1265,0.0302,1.67,0.0177,22,2112.55,1766.07,78.92,-346.48
2025-07,Affiliates,Mobile,38238,595,0.0156,0.56,0.0183,10,333.2,700.57,68.1,367.37
2025-07,Brand Search,Desktop,21335,935,0.0439,1.06,0.0227,21,991.1,2036.97,93.7,1045.87
2025-07,Non-Brand Search,Mobile,36617,812,0.0222,1.58,0.0157,12,1282.96,1147.26,98.09,-135.7
2025-07,Prospecting,Desktop,52919,636,0.012,1.48,0.0229,14,941.28,1453.52,92.37,512.24
2025-07,Retargeting,Mobile,30448,745,0.0245,1.18,0.0309,23,879.1,1913.11,85.96,1034.01
2025-07,Creator/UGC,Mobile,34234,804,0.0235,1.44,0.0153,12,1157.76,904.98,75.83,-252.78
2025-07,Affiliates,Mobile,48844,1317,0.027,0.57,0.0243,31,750.69,3111.42,101.13,2360.73
2025-07,Brand Search,Mobile,36146,1738,0.0481,1.24,0.0226,39,2155.12,2454.29,58.38,299.17
2025-07,Non-Brand Search,Desktop,36856,1280,0.0347,1.46,0.0266,34,1868.8,4034.38,106.21,2165.58
2025-07,Prospecting,Desktop,37512,666,0.0178,1.27,0.0213,14,845.82,918.44,67.5,72.62
2025-07,Retargeting,Desktop,27544,631,0.0229,1.1,0.0275,17,694.1,1390.35,81.8,696.25
2025-07,Creator/UGC,Desktop,54897,1925,0.0351,1.57,0.0206,39,3022.25,3410.37,84.84,388.12
2025-07,Affiliates,Desktop,31297,806,0.0258,0.68,0.0112,9,548.08,619.74,65.42,71.66
2025-07,Brand Search,Mobile,32727,1525,0.0466,1.43,0.0265,40,2180.75,3481.28,84.8,1300.53
2025-07,Non-Brand Search,Mobile,44154,897,0.0203,1.47,0.0146,13,1318.59,1038.33,83.95,-280.26
2025-07,Prospecting,Mobile,57541,1531,0.0266,1.34,0.011,16,2051.54,1327.99,82.72,-723.55
2025-07,Retargeting,Desktop,26987,645,0.0239,1.64,0.0297,19,1057.8,1596.68,97.11,538.88
2025-07,Creator/UGC,Mobile,42048,876,0.0208,1.01,0.028,24,884.76,1922.0,72.73,1037.24
2025-07,Affiliates,Mobile,31561,732,0.0232,0.55,0.0093,6,402.6,482.51,81.92,79.91
2025-07,Brand Search,Mobile,40382,1798,0.0445,1.04,0.0283,50,1869.92,3313.94,67.34,1444.02
2025-07,Non-Brand Search,Mobile,31875,779,0.0244,1.45,0.0149,11,1129.55,1054.59,90.89,-74.96
2025-07,Prospecting,Desktop,55747,970,0.0174,1.41,0.0236,22,1367.7,1029.77,44.68,-337.93
2025-07,Retargeting,Mobile,24197,566,0.0234,1.18,0.0325,18,667.88,1382.72,76.81,714.84
2025-07,Creator/UGC,Mobile,57904,1725,0.0298,1.42,0.024,41,2449.5,3005.6,79.99,556.1
2025-07,Affiliates,Mobile,40483,1126,0.0278,1.0,0.0091,10,1126.0,973.54,100.29,-152.46
2025-07,Brand Search,Mobile,20148,573,0.0285,0.68,0.0303,17,389.64,1335.61,77.45,945.97
2025-07,Non-Brand Search,Mobile,26026,502,0.0193,1.78,0.0263,13,893.56,1299.98,94.38,406.42
2025-07,Prospecting,Desktop,54638,905,0.0166,1.24,0.0108,9,1122.2,883.15,101.06,-239.05
2025-07,Retargeting,Desktop,36582,787,0.0215,1.59,0.0267,21,1251.33,1827.69,84.59,576.36
2025-07,Creator/UGC,Desktop,51807,1168,0.0226,0.96,0.0169,19,1121.28,2159.53,101.55,1038.25
2025-07,Affiliates,Mobile,14219,274,0.0193,0.47,0.0231,6,128.78,394.73,61.79,265.95
2025-08,Brand Search,Mobile,43599,1371,0.0315,0.92,0.0205,28,1261.32,1554.8,64.09,293.48
2025-08,Non-Brand Search,Mobile,43808,1046,0.0239,1.55,0.0156,16,1621.3,1295.1,80.73,-326.2
2025-08,Prospecting,Desktop,77536,1743,0.0225,1.23,0.0165,28,2143.89,3003.02,102.78,859.13
2025-08,Retargeting,Mobile,29430,398,0.0135,1.22,0.029,11,485.56,868.84,73.76,383.28
2025-08,Creator/UGC,Mobile,56764,836,0.0147,1.44,0.0173,14,1203.84,1283.67,83.35,79.83
2025-08,Affiliates,Mobile,24632,367,0.0149,0.66,0.0234,8,242.22,626.83,80.06,384.61
2025-08,Brand Search,Mobile,34509,1409,0.0408,0.88,0.0277,39,1239.92,3167.35,81.49,1927.43
2025-08,Non-Brand Search,Mobile,47019,1305,0.0278,1.47,0.0198,25,1918.35,1531.46,60.32,-386.89
2025-08,Prospecting,Desktop,56547,1521,0.0269,1.12,0.0158,24,1703.52,1548.77,59.44,-154.75
2025-08,Retargeting,Desktop,15423,308,0.02,1.45,0.0273,8,446.6,712.09,89.22,265.49
2025-08,Creator/UGC,Mobile,60751,1002,0.0165,1.5,0.0186,18,1503.0,1040.53,59.32,-462.47
2025-08,Affiliates,Mobile,19899,391,0.0197,1.04,0.0226,8,406.64,751.07,87.09,344.43
2025-08,Brand Search,Mobile,29956,1322,0.0441,1.57,0.0262,34,2075.54,2987.84,94.53,912.3
2025-08,Non-Brand Search,Mobile,28775,833,0.029,1.39,0.0135,11,1157.87,1243.61,109.04,85.74
2025-08,Prospecting,Mobile,65203,578,0.0089,1.12,0.0216,12,647.36,914.23,82.65,266.87
2025-08,Retargeting,Mobile,27752,726,0.0262,1.6,0.0288,20,1161.6,1474.56,66.76,312.96
2025-08,Creator/UGC,Desktop,45243,1351,0.0299,1.26,0.0251,33,1702.26,2486.81,71.24,784.55
2025-08,Affiliates,Desktop,28098,763,0.0272,0.56,0.0195,14,427.28,1380.81,95.6,953.53
2025-08,Brand Search,Desktop,41987,1697,0.0404,1.48,0.0178,30,2511.56,2575.65,89.86,64.09
2025-08,Non-Brand Search,Desktop,41202,713,0.0173,1.5,0.0123,8,1069.5,433.3,63.72,-636.2
2025-08,Prospecting,Mobile,43563,1092,0.0251,1.5,0.0121,13,1638.0,952.53,70.44,-685.47
2025-08,Retargeting,Desktop,30129,819,0.0272,1.38,0.0212,17,1130.22,1550.64,93.35,420.42
2025-08,Creator/UGC,Desktop,44045,919,0.0209,1.43,0.02,18,1314.17,1459.36,75.88,145.19
2025-08,Affiliates,Mobile,29647,905,0.0305,0.51,0.0136,12,461.55,584.82,50.23,123.27
2025-08,Brand Search,Mobile,43974,1601,0.0364,1.02,0.0218,34,1633.02,2483.9,79.27,850.88
2025-08,Non-Brand Search,Desktop,46383,489,0.0106,1.17,0.0088,4,572.13,260.61,69.84,-311.52
2025-08,Prospecting,Desktop,41352,1015,0.0246,1.79,0.0113,11,1816.85,738.09,70.94,-1078.76
2025-08,Retargeting,Mobile,37558,1018,0.0271,1.09,0.0271,27,1109.62,2399.87,83.83,1290.25
2025-08,Creator/UGC,Mobile,48854,818,0.0167,1.64,0.0166,13,1341.52,860.1,66.04,-481.42
2025-08,Affiliates,Mobile,37777,1147,0.0304,0.78,0.0174,19,894.66,1695.45,87.54,800.79
2025-08,Brand Search,Mobile,40108,1936,0.0483,1.26,0.0149,28,2439.36,2907.2,102.07,467.84
2025-08,Non-Brand Search,Desktop,30443,373,0.0123,1.27,0.0223,8,473.71,741.56,91.37,267.85
2025-08,Prospecting,Mobile,58291,1105,0.019,1.24,0.0163,17,1370.2,1431.19,87.93,60.99
2025-08,Retargeting,Mobile,22387,491,0.0219,1.69,0.0286,14,829.79,839.46,66.69,9.67
2025-08,Creator/UGC,Mobile,41176,501,0.0122,1.35,0.0144,7,676.35,528.6,67.06,-147.75
2025-08,Affiliates,Mobile,47054,528,0.0112,0.68,0.0208,11,359.04,1332.55,121.66,973.51
2025-08,Brand Search,Desktop,36427,848,0.0233,1.05,0.0196,16,890.4,1406.4,82.86,516.0
2025-08,Non-Brand Search,Mobile,29039,773,0.0266,1.28,0.0161,12,989.44,837.28,74.57,-152.16
2025-08,Prospecting,Desktop,35707,439,0.0123,1.73,0.023,10,759.47,976.43,86.77,216.96
2025-08,Retargeting,Desktop,32187,433,0.0135,1.24,0.0196,8,536.92,649.41,81.18,112.49
2025-08,Creator/UGC,Mobile,57005,1660,0.0291,1.74,0.0107,17,2888.4,1274.94,83.93,-1613.46
2025-08,Affiliates,Mobile,29266,792,0.0271,0.37,0.0151,11,293.04,1085.86,103.85,792.82
2025-08,Brand Search,Mobile,30688,1038,0.0338,1.23,0.0292,30,1276.74,2467.15,81.27,1190.41
2025-08,Non-Brand Search,Desktop,40842,952,0.0233,1.05,0.0075,7,999.6,455.16,72.46,-544.44
2025-08,Prospecting,Desktop,62438,810,0.013,1.32,0.0129,10,1069.2,835.88,92.81,-233.32
2025-08,Retargeting,Desktop,44843,1272,0.0284,1.5,0.0242,30,1908.0,2209.74,76.42,301.74
2025-08,Creator/UGC,Desktop,59690,1550,0.026,1.69,0.0132,20,2619.5,1873.37,81.93,-746.13
2025-08,Affiliates,Mobile,25574,484,0.0189,1.08,0.018,8,522.72,502.62,62.89,-20.1
2025-08,Brand Search,Desktop,34579,1131,0.0327,1.14,0.0339,38,1289.34,2933.07,81.4,1643.73
2025-08,Non-Brand Search,Desktop,33444,936,0.028,1.98,0.0134,12,1853.28,1164.96,99.91,-688.32
2025-08,Prospecting,Desktop,50143,1157,0.0231,1.43,0.0159,18,1654.51,1253.81,65.65,-400.7
2025-08,Retargeting,Desktop,24911,476,0.0191,1.21,0.0247,11,575.96,1074.4,92.35,498.44
2025-08,Creator/UGC,Mobile,45371,766,0.0169,1.82,0.0242,18,1394.12,1522.75,85.16,128.63
2025-08,Affiliates,Mobile,26417,489,0.0185,0.35,0.0193,9,171.15,786.68,82.34,615.53
2025-08,Brand Search,Mobile,28094,1160,0.0413,1.15,0.0239,27,1334.0,1762.06,68.99,428.06
2025-08,Non-Brand Search,Mobile,29189,644,0.0221,1.32,0.0116,7,850.08,703.94,94.64,-146.14
2025-08,Prospecting,Mobile,52444,968,0.0185,1.39,0.0147,14,1345.52,871.32,68.74,-474.2
2025-08,Retargeting,Mobile,25781,231,0.009,2.14,0.0399,9,494.34,1046.14,110.38,551.8
2025-08,Creator/UGC,Mobile,49384,942,0.0191,1.58,0.0172,16,1488.36,1407.9,91.6,-80.46
2025-08,Affiliates,Mobile,25275,737,0.0292,0.46,0.011,8,339.02,787.67,95.59,448.65
2025-08,Brand Search,Mobile,33642,1391,0.0414,1.55,0.0277,38,2156.05,3530.6,89.15,1374.55
2025-08,Non-Brand Search,Mobile,28303,985,0.0348,1.42,0.0216,21,1398.7,1407.21,70.75,8.51
2025-08,Prospecting,Mobile,59832,601,0.01,0.92,0.0175,10,552.92,738.38,71.76,185.46
